  #N         exact        Simpson   Gauss-Legend          Filon             eS             eG             eF
 553       0.62415        0.60957        0.62415        0.64176        0.02336        0.00000            0.02822
 557       0.62415        0.61006        0.62415        0.64126        0.02257        0.00000            0.02741
 561       0.62415        0.61053        0.62415        0.64077        0.02182        0.00000            0.02663
 565       0.62415        0.61098        0.62415        0.64030        0.02110        0.00000            0.02588
 569       0.62415        0.61141        0.62415        0.63985        0.02041        0.00000            0.02515
 573       0.62415        0.61182        0.62415        0.63941        0.01975        0.00000            0.02445
 577       0.62415        0.61222        0.62415        0.63898        0.01912        0.00000            0.02377
 581       0.62415        0.61260        0.62415        0.63857        0.01851        0.00000            0.02311
 585       0.62415        0.61296        0.62415        0.63818        0.01793        0.00000            0.02247
 589       0.62415        0.61331        0.62415        0.63779        0.01737        0.00000            0.02186
 593       0.62415        0.61364        0.62415        0.63742        0.01683        0.00000            0.02126
 597       0.62415        0.61397        0.62415        0.63706        0.01632        0.00000            0.02068
 601       0.62415        0.61428        0.62415        0.63671        0.01582        0.00000            0.02013
 661       0.62415        0.61774        0.62415        0.63263        0.01027        0.00000            0.01358
 721       0.62415        0.61979        0.62415        0.63004        0.00699        0.00000            0.00944
 781       0.62415        0.62107        0.62415        0.62835        0.00493        0.00000            0.00672
 841       0.62415        0.62191        0.62415        0.62721        0.00359        0.00000            0.00490
 901       0.62415        0.62248        0.62415        0.62642        0.00268        0.00000            0.00364
 961       0.62415        0.62288        0.62415        0.62587        0.00204        0.00000            0.00276
1021       0.62415        0.62316        0.62415        0.62547        0.00158        0.00000            0.00212
1081       0.62415        0.62337        0.62415        0.62518        0.00125        0.00000            0.00166
1141       0.62415        0.62353        0.62415        0.62497        0.00100        0.00000            0.00131
1201       0.62415        0.62365        0.62415        0.62480        0.00081        0.00000            0.00105
1261       0.62415        0.62374        0.62415        0.62468        0.00066        0.00000            0.00085
1321       0.62415        0.62381        0.62415        0.62458        0.00054        0.00000            0.00069
1381       0.62415        0.62387        0.62415        0.62451        0.00045        0.00000            0.00057
1441       0.62415        0.62391        0.62415        0.62445        0.00038        0.00000            0.00047
1501       0.62415        0.62395        0.62415        0.62440        0.00032        0.00000            0.00040
1561       0.62415        0.62398        0.62415        0.62436        0.00028        0.00000            0.00034
1621       0.62415        0.62400        0.62415        0.62433        0.00024        0.00000            0.00029
1681       0.62415        0.62402        0.62415        0.62430        0.00020        0.00000            0.00024
1741       0.62415        0.62404        0.62415        0.62428        0.00018        0.00000            0.00021
1801       0.62415        0.62405        0.62415        0.62426        0.00015        0.00000            0.00018
1861       0.62415        0.62407        0.62415        0.62425        0.00013        0.00000            0.00016
1921       0.62415        0.62408        0.62415        0.62424        0.00012        0.00000            0.00014
1981       0.62415        0.62408        0.62415        0.62423        0.00010        0.00000            0.00012
2041       0.62415        0.62409        0.62415        0.62422        0.00009        0.00000            0.00011
2101       0.62415        0.62410        0.62415        0.62421        0.00008        0.00000            0.00009
2161       0.62415        0.62410        0.62415        0.62420        0.00007        0.00000            0.00008
2221       0.62415        0.62411        0.62415        0.62420        0.00007        0.00000            0.00007
2281       0.62415        0.62411        0.62415        0.62419        0.00006        0.00000            0.00007
2341       0.62415        0.62412        0.62415        0.62419        0.00005        0.00000            0.00006
2401       0.62415        0.62412        0.62415        0.62418        0.00005        0.00000            0.00005
2461       0.62415        0.62412        0.62415        0.62418        0.00004        0.00000            0.00005
2521       0.62415        0.62413        0.62415        0.62418        0.00004        0.00000            0.00004
2581       0.62415        0.62413        0.62415        0.62417        0.00004        0.00000            0.00004
2641       0.62415        0.62413        0.62415        0.62417        0.00003        0.00000            0.00004
2701       0.62415        0.62413        0.62415        0.62417        0.00003        0.00000            0.00003
2761       0.62415        0.62413        0.62415        0.62417        0.00003        0.00000            0.00003
2821       0.62415        0.62413        0.62415        0.62417        0.00003        0.00000            0.00003
2881       0.62415        0.62414        0.62415        0.62417        0.00002        0.00000            0.00002
2941       0.62415        0.62414        0.62415        0.62416        0.00002        0.00000            0.00002
3001       0.62415        0.62414        0.62415        0.62416        0.00002        0.00000            0.00002
3061       0.62415        0.62414        0.62415        0.62416        0.00002        0.00000            0.00002
3121       0.62415        0.62414        0.62415        0.62416        0.00002        0.00000            0.00002
3181       0.62415        0.62414        0.62415        0.62416        0.00002        0.00000            0.00002
3241       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00002
3301       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3361       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3421       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3481       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3541       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3601       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3661       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3721       0.62415        0.62414        0.62415        0.62416        0.00001        0.00000            0.00001
3781       0.62415        0.62415        0.62415        0.62416        0.00001        0.00000            0.00001
3841       0.62415        0.62415        0.62415        0.62415        0.00001        0.00000            0.00001
3901       0.62415        0.62415        0.62415        0.62415        0.00001        0.00000            0.00001
3961       0.62415        0.62415        0.62415        0.62415        0.00001        0.00000            0.00001
4021       0.62415        0.62415        0.62415        0.62415        0.00001        0.00000            0.00001
4081       0.62415        0.62415        0.62415        0.62415        0.00001        0.00000            0.00001
4141       0.62415        0.62415        0.62415        0.62415        0.00001        0.00000            0.00001
4201       0.62415        0.62415        0.62415        0.62415        0.00001        0.00000            0.00001
4261       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00001
4321       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4381       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4441       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4501       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4561       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4621       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4681       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4741       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
4801       0.62415        0.62415        0.62415        0.62415        0.00000        0.00000            0.00000
