 #log10(N)         exact        Simpson   Gauss-Legend          Filon      log10(eS)      log10(eG)      log10(eF)
  2.726727     0.6241500      0.6067504      0.6241501      0.6445686     -1.5547485     -7.0828448          -1.485264
  2.729974     0.6241500      0.6073679      0.6241501      0.6439676     -1.5704430     -7.0828408          -1.498238
  2.733197     0.6241500      0.6079571      0.6241501      0.6433875     -1.5859652     -7.0828359          -1.511139
  2.736397     0.6241500      0.6085196      0.6241501      0.6428276     -1.6013195     -7.0828348          -1.523967
  2.739572     0.6241500      0.6090569      0.6241501      0.6422870     -1.6165103     -7.0828320          -1.536723
  2.742725     0.6241500      0.6095703      0.6241501      0.6417650     -1.6315416     -7.0828285          -1.549407
  2.745855     0.6241500      0.6100613      0.6241501      0.6412607     -1.6464172     -7.0828262          -1.562020
  2.748963     0.6241500      0.6105309      0.6241501      0.6407736     -1.6611410     -7.0828219          -1.574563
  2.752048     0.6241500      0.6109804      0.6241501      0.6403030     -1.6757165     -7.0828211          -1.587036
  2.755112     0.6241500      0.6114108      0.6241501      0.6398482     -1.6901471     -7.0828181          -1.599440
  2.758155     0.6241500      0.6118231      0.6241501      0.6394086     -1.7044363     -7.0828149          -1.611776
  2.761176     0.6241500      0.6122183      0.6241501      0.6389836     -1.7185872     -7.0828123          -1.624043
  2.764176     0.6241500      0.6125972      0.6241501      0.6385727     -1.7326028     -7.0828100          -1.636243
  2.767156     0.6241500      0.6129607      0.6241501      0.6381753     -1.7464862     -7.0828075          -1.648377
  2.770115     0.6241500      0.6133095      0.6241501      0.6377909     -1.7602401     -7.0828031          -1.660444
  2.773055     0.6241500      0.6136444      0.6241501      0.6374191     -1.7738674     -7.0828028          -1.672446
  2.775974     0.6241500      0.6139660      0.6241501      0.6370594     -1.7873707     -7.0827999          -1.684384
  2.778874     0.6241500      0.6142750      0.6241501      0.6367112     -1.8007526     -7.0827978          -1.696257
  2.820201     0.6241500      0.6177398      0.6241501      0.6326277     -1.9884181     -7.0827686          -1.867013
  2.857935     0.6241500      0.6197887      0.6241501      0.6300397     -2.1556698     -7.0827458          -2.025199
  2.892651     0.6241500      0.6210708      0.6241501      0.6283472     -2.3068580     -7.0827276          -2.172332
  2.924796     0.6241500      0.6219098      0.6241501      0.6272091     -2.4450031     -7.0827142          -2.309695
  2.954725     0.6241500      0.6224790      0.6241501      0.6264247     -2.5723062     -7.0827019          -2.438373
  2.982723     0.6241500      0.6228769      0.6241501      0.6258719     -2.6904306     -7.0826935          -2.559289
  3.009026     0.6241500      0.6231623      0.6241501      0.6254745     -2.8006693     -7.0826853          -2.673237
  3.033826     0.6241500      0.6233715      0.6241501      0.6251837     -2.9040508     -7.0826797          -2.780900
  3.057286     0.6241500      0.6235279      0.6241501      0.6249674     -3.0014081     -7.0826738          -2.882870
  3.079543     0.6241500      0.6236467      0.6241501      0.6248041     -3.0934269     -7.0826688          -2.979665
  3.100715     0.6241500      0.6237383      0.6241501      0.6246791     -3.1806792     -7.0826649          -3.071738
  3.120903     0.6241500      0.6238099      0.6241501      0.6245823     -3.2636474     -7.0826616          -3.159489
  3.140194     0.6241500      0.6238665      0.6241501      0.6245065     -3.3427430     -7.0826603          -3.243273
  3.158664     0.6241500      0.6239118      0.6241501      0.6244464     -3.4183194     -7.0826558          -3.323405
  3.176381     0.6241500      0.6239483      0.6241501      0.6243984     -3.4906832     -7.0826529          -3.400165
  3.193403     0.6241500      0.6239781      0.6241501      0.6243596     -3.5601017     -7.0826515          -3.473805
  3.209783     0.6241500      0.6240026      0.6241501      0.6243281     -3.6268101     -7.0826497          -3.544552
  3.225568     0.6241500      0.6240229      0.6241501      0.6243023     -3.6910157     -7.0826459          -3.612609
  3.240799     0.6241500      0.6240397      0.6241501      0.6242810     -3.7529029     -7.0826472          -3.678160
  3.255514     0.6241500      0.6240539      0.6241501      0.6242632     -3.8126363     -7.0826467          -3.741373
  3.269746     0.6241500      0.6240659      0.6241501      0.6242484     -3.8703632     -7.0826432          -3.802398
  3.283527     0.6241500      0.6240760      0.6241501      0.6242359     -3.9262163     -7.0826410          -3.861375
  3.296884     0.6241500      0.6240847      0.6241501      0.6242253     -3.9803156     -7.0826396          -3.918429
  3.309843     0.6241500      0.6240921      0.6241501      0.6242163     -4.0327696     -7.0826421          -3.973676
  3.322426     0.6241500      0.6240985      0.6241501      0.6242086     -4.0836773     -7.0826441          -4.027221
  3.334655     0.6241500      0.6241041      0.6241501      0.6242020     -4.1331289     -7.0826447          -4.079161
  3.346549     0.6241500      0.6241089      0.6241501      0.6241963     -4.1812068     -7.0826436          -4.129585
  3.358125     0.6241500      0.6241131      0.6241501      0.6241914     -4.2279867     -7.0826409          -4.178576
  3.369401     0.6241500      0.6241168      0.6241501      0.6241871     -4.2735384     -7.0826358          -4.226210
  3.380392     0.6241500      0.6241200      0.6241501      0.6241833     -4.3179261     -7.0826301          -4.272557
  3.391112     0.6241500      0.6241228      0.6241501      0.6241800     -4.3612090     -7.0826254          -4.317682
  3.401573     0.6241500      0.6241253      0.6241501      0.6241771     -4.4034421     -7.0826221          -4.361646
  3.411788     0.6241500      0.6241276      0.6241501      0.6241746     -4.4446765     -7.0826178          -4.404504
  3.421768     0.6241500      0.6241296      0.6241501      0.6241723     -4.4849595     -7.0826157          -4.446309
  3.431525     0.6241500      0.6241313      0.6241501      0.6241703     -4.5243354     -7.0826151          -4.487110
  3.441066     0.6241500      0.6241329      0.6241501      0.6241685     -4.5628452     -7.0826169          -4.526951
  3.450403     0.6241500      0.6241343      0.6241501      0.6241670     -4.6005276     -7.0826180          -4.565876
