 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x        analytical    Relative-error            Energy          log(Err)
 
      0.282000D+02      0.320991D+00      0.951057D+00      0.662490D+00      0.195929D+02     -0.480693D+01
      0.282500D+02      0.138517D-01      0.100000D+01      0.986148D+00      0.195927D+02     -0.480533D+01
      0.283000D+02     -0.294639D+00      0.951057D+00      0.130980D+01      0.195924D+02     -0.480374D+01
      0.283500D+02     -0.574289D+00      0.809017D+00      0.170986D+01      0.195922D+02     -0.480214D+01
      0.284000D+02     -0.797729D+00      0.587785D+00      0.235718D+01      0.195919D+02     -0.480055D+01
      0.284500D+02     -0.943091D+00      0.309017D+00      0.405191D+01      0.195916D+02     -0.479896D+01
      0.285000D+02     -0.996150D+00     -0.168766D-11      0.590254D+12      0.195914D+02     -0.479738D+01
      0.285500D+02     -0.951715D+00     -0.309017D+00      0.207981D+01      0.195911D+02     -0.479579D+01
      0.286000D+02     -0.814134D+00     -0.587785D+00      0.385087D+00      0.195909D+02     -0.479421D+01
      0.286500D+02     -0.596875D+00     -0.809017D+00      0.262222D+00      0.195906D+02     -0.479263D+01
      0.287000D+02     -0.321202D+00     -0.951057D+00      0.662269D+00      0.195903D+02     -0.479106D+01
      0.287500D+02     -0.140959D-01     -0.100000D+01      0.985904D+00      0.195901D+02     -0.478948D+01
      0.288000D+02      0.294385D+00     -0.951057D+00      0.130954D+01      0.195898D+02     -0.478791D+01
      0.288500D+02      0.574051D+00     -0.809017D+00      0.170957D+01      0.195896D+02     -0.478634D+01
      0.289000D+02      0.797529D+00     -0.587785D+00      0.235684D+01      0.195893D+02     -0.478478D+01
      0.289500D+02      0.942950D+00     -0.309017D+00      0.405145D+01      0.195891D+02     -0.478321D+01
      0.290000D+02      0.996081D+00      0.173373D-11      0.574532D+12      0.195888D+02     -0.478165D+01
      0.290500D+02      0.951724D+00      0.309017D+00      0.207984D+01      0.195885D+02     -0.478009D+01
      0.291000D+02      0.814221D+00      0.587785D+00      0.385236D+00      0.195883D+02     -0.477854D+01
      0.291500D+02      0.597032D+00      0.809017D+00      0.262028D+00      0.195880D+02     -0.477698D+01
      0.292000D+02      0.321413D+00      0.951057D+00      0.662047D+00      0.195878D+02     -0.477543D+01
      0.292500D+02      0.143401D-01      0.100000D+01      0.985660D+00      0.195875D+02     -0.477388D+01
      0.293000D+02     -0.294132D+00      0.951057D+00      0.130927D+01      0.195872D+02     -0.477233D+01
      0.293500D+02     -0.573813D+00      0.809017D+00      0.170927D+01      0.195870D+02     -0.477079D+01
      0.294000D+02     -0.797330D+00      0.587785D+00      0.235650D+01      0.195867D+02     -0.476925D+01
      0.294500D+02     -0.942809D+00      0.309017D+00      0.405099D+01      0.195865D+02     -0.476771D+01
      0.295000D+02     -0.996012D+00     -0.177979D-11      0.559624D+12      0.195862D+02     -0.476617D+01
      0.295500D+02     -0.951734D+00     -0.309017D+00      0.207988D+01      0.195860D+02     -0.476464D+01
      0.296000D+02     -0.814309D+00     -0.587785D+00      0.385385D+00      0.195857D+02     -0.476310D+01
      0.296500D+02     -0.597188D+00     -0.809017D+00      0.261834D+00      0.195854D+02     -0.476157D+01
      0.297000D+02     -0.321623D+00     -0.951057D+00      0.661825D+00      0.195852D+02     -0.476005D+01
      0.297500D+02     -0.145843D-01     -0.100000D+01      0.985416D+00      0.195849D+02     -0.475852D+01
      0.298000D+02      0.293878D+00     -0.951057D+00      0.130900D+01      0.195847D+02     -0.475700D+01
      0.298500D+02      0.573574D+00     -0.809017D+00      0.170898D+01      0.195844D+02     -0.475548D+01
      0.299000D+02      0.797130D+00     -0.587785D+00      0.235616D+01      0.195841D+02     -0.475396D+01
      0.299500D+02      0.942668D+00     -0.309017D+00      0.405054D+01      0.195839D+02     -0.475244D+01
      0.300000D+02      0.995943D+00      0.182585D-11      0.545467D+12      0.195836D+02     -0.475093D+01
