 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x        analytical    Relative-error            Energy          log(Err)
 
      0.420000D+01      0.331303D+00      0.951057D+00      0.651647D+00      0.190768D+02     -0.337258D+01
      0.430000D+01     -0.275230D+00      0.951057D+00      0.128939D+01      0.190613D+02     -0.334997D+01
      0.440000D+01     -0.776412D+00      0.587785D+00      0.232091D+01      0.190458D+02     -0.332787D+01
      0.450000D+01     -0.981387D+00      0.110218D-14      0.890404D+15      0.190303D+02     -0.330627D+01
      0.460000D+01     -0.812302D+00     -0.587785D+00      0.381971D+00      0.190149D+02     -0.328514D+01
      0.470000D+01     -0.333881D+00     -0.951057D+00      0.648937D+00      0.189994D+02     -0.326447D+01
      0.480000D+01      0.271355D+00     -0.951057D+00      0.128532D+01      0.189840D+02     -0.324423D+01
      0.490000D+01      0.772717D+00     -0.587785D+00      0.231463D+01      0.189686D+02     -0.322441D+01
      0.500000D+01      0.979280D+00     -0.118828D-13      0.824116D+14      0.189532D+02     -0.320499D+01
      0.510000D+01      0.812584D+00      0.587785D+00      0.382451D+00      0.189378D+02     -0.318595D+01
      0.520000D+01      0.336443D+00      0.951057D+00      0.646243D+00      0.189224D+02     -0.316729D+01
      0.530000D+01     -0.267491D+00      0.951057D+00      0.128126D+01      0.189070D+02     -0.314898D+01
      0.540000D+01     -0.769024D+00      0.587785D+00      0.230834D+01      0.188916D+02     -0.313102D+01
      0.550000D+01     -0.977165D+00      0.262161D-13      0.372734D+14      0.188763D+02     -0.311339D+01
      0.560000D+01     -0.812852D+00     -0.587785D+00      0.382906D+00      0.188610D+02     -0.309607D+01
      0.570000D+01     -0.338989D+00     -0.951057D+00      0.643566D+00      0.188456D+02     -0.307907D+01
      0.580000D+01      0.263638D+00     -0.951057D+00      0.127721D+01      0.188303D+02     -0.306236D+01
      0.590000D+01      0.765334D+00     -0.587785D+00      0.230206D+01      0.188150D+02     -0.304594D+01
      0.600000D+01      0.975042D+00     -0.369967D-13      0.263548D+14      0.187997D+02     -0.302980D+01
      0.610000D+01      0.813104D+00      0.587785D+00      0.383336D+00      0.187845D+02     -0.301393D+01
      0.620000D+01      0.341519D+00      0.951057D+00      0.640906D+00      0.187692D+02     -0.299832D+01
      0.630000D+01     -0.259797D+00      0.951057D+00      0.127317D+01      0.187540D+02     -0.298296D+01
      0.640000D+01     -0.761646D+00      0.587785D+00      0.229579D+01      0.187387D+02     -0.296784D+01
      0.650000D+01     -0.972912D+00      0.477773D-13      0.203635D+14      0.187235D+02     -0.295296D+01
      0.660000D+01     -0.813343D+00     -0.587785D+00      0.383742D+00      0.187083D+02     -0.293832D+01
      0.670000D+01     -0.344033D+00     -0.951057D+00      0.638263D+00      0.186931D+02     -0.292389D+01
      0.680000D+01      0.255967D+00     -0.951057D+00      0.126914D+01      0.186779D+02     -0.290968D+01
      0.690000D+01      0.757960D+00     -0.587785D+00      0.228952D+01      0.186627D+02     -0.289569D+01
      0.700000D+01      0.970775D+00     -0.585579D-13      0.165780D+14      0.186476D+02     -0.288189D+01
      0.710000D+01      0.813567D+00      0.587785D+00      0.384123D+00      0.186324D+02     -0.286830D+01
      0.720000D+01      0.346531D+00      0.951057D+00      0.635636D+00      0.186173D+02     -0.285490D+01
      0.730000D+01     -0.252148D+00      0.951057D+00      0.126512D+01      0.186022D+02     -0.284168D+01
      0.740000D+01     -0.754277D+00      0.587785D+00      0.228325D+01      0.185871D+02     -0.282865D+01
      0.750000D+01     -0.968630D+00      0.693385D-13      0.139696D+14      0.185720D+02     -0.281580D+01
      0.760000D+01     -0.813777D+00     -0.587785D+00      0.384479D+00      0.185569D+02     -0.280312D+01
      0.770000D+01     -0.349013D+00     -0.951057D+00      0.633026D+00      0.185418D+02     -0.279061D+01
      0.780000D+01      0.248341D+00     -0.951057D+00      0.126112D+01      0.185267D+02     -0.277827D+01
      0.790000D+01      0.750596D+00     -0.587785D+00      0.227699D+01      0.185117D+02     -0.276608D+01
      0.800000D+01      0.966478D+00     -0.801191D-13      0.120630D+14      0.184966D+02     -0.275405D+01
      0.810000D+01      0.813972D+00      0.587785D+00      0.384812D+00      0.184816D+02     -0.274218D+01
      0.820000D+01      0.351480D+00      0.951057D+00      0.630432D+00      0.184666D+02     -0.273045D+01
      0.830000D+01     -0.244545D+00      0.951057D+00      0.125713D+01      0.184516D+02     -0.271887D+01
      0.840000D+01     -0.746918D+00      0.587785D+00      0.227073D+01      0.184366D+02     -0.270743D+01
      0.850000D+01     -0.964319D+00      0.908997D-13      0.106086D+14      0.184216D+02     -0.269612D+01
      0.860000D+01     -0.814153D+00     -0.587785D+00      0.385120D+00      0.184067D+02     -0.268496D+01
      0.870000D+01     -0.353930D+00     -0.951057D+00      0.627855D+00      0.183917D+02     -0.267392D+01
      0.880000D+01      0.240760D+00     -0.951057D+00      0.125315D+01      0.183768D+02     -0.266302D+01
      0.890000D+01      0.743242D+00     -0.587785D+00      0.226448D+01      0.183618D+02     -0.265224D+01
      0.900000D+01      0.962152D+00     -0.101680D-12      0.946252D+13      0.183469D+02     -0.264158D+01
      0.910000D+01      0.814320D+00      0.587785D+00      0.385405D+00      0.183320D+02     -0.263105D+01
      0.920000D+01      0.356365D+00      0.951057D+00      0.625295D+00      0.183171D+02     -0.262063D+01
      0.930000D+01     -0.236987D+00      0.951057D+00      0.124918D+01      0.183022D+02     -0.261033D+01
      0.940000D+01     -0.739569D+00      0.587785D+00      0.225823D+01      0.182874D+02     -0.260015D+01
      0.950000D+01     -0.959979D+00      0.112461D-12      0.853611D+13      0.182725D+02     -0.259007D+01
      0.960000D+01     -0.814473D+00     -0.587785D+00      0.385665D+00      0.182577D+02     -0.258010D+01
      0.970000D+01     -0.358785D+00     -0.951057D+00      0.622752D+00      0.182428D+02     -0.257024D+01
      0.980000D+01      0.233225D+00     -0.951057D+00      0.124523D+01      0.182280D+02     -0.256048D+01
      0.990000D+01      0.735899D+00     -0.587785D+00      0.225199D+01      0.182132D+02     -0.255083D+01
      0.100000D+02      0.957799D+00     -0.123242D-12      0.777172D+13      0.181984D+02     -0.254127D+01
      0.101000D+02      0.814612D+00      0.587785D+00      0.385901D+00      0.181836D+02     -0.253182D+01
      0.102000D+02      0.361188D+00      0.951057D+00      0.620224D+00      0.181689D+02     -0.252246D+01
      0.103000D+02     -0.229475D+00      0.951057D+00      0.124128D+01      0.181541D+02     -0.251319D+01
      0.104000D+02     -0.732231D+00      0.587785D+00      0.224575D+01      0.181393D+02     -0.250402D+01
      0.105000D+02     -0.955611D+00      0.141128D-12      0.677126D+13      0.181246D+02     -0.249493D+01
      0.106000D+02     -0.814737D+00     -0.587785D+00      0.386114D+00      0.181099D+02     -0.248594D+01
      0.107000D+02     -0.363576D+00     -0.951057D+00      0.617714D+00      0.180952D+02     -0.247703D+01
      0.108000D+02      0.225735D+00     -0.951057D+00      0.123735D+01      0.180805D+02     -0.246821D+01
      0.109000D+02      0.728566D+00     -0.587785D+00      0.223951D+01      0.180658D+02     -0.245948D+01
      0.110000D+02      0.953417D+00     -0.151908D-12      0.627627D+13      0.180511D+02     -0.245082D+01
      0.111000D+02      0.814848D+00      0.587785D+00      0.386302D+00      0.180364D+02     -0.244225D+01
      0.112000D+02      0.365948D+00      0.951057D+00      0.615220D+00      0.180218D+02     -0.243376D+01
      0.113000D+02     -0.222008D+00      0.951057D+00      0.123343D+01      0.180071D+02     -0.242534D+01
      0.114000D+02     -0.724904D+00      0.587785D+00      0.223328D+01      0.179925D+02     -0.241700D+01
      0.115000D+02     -0.951216D+00      0.162689D-12      0.584684D+13      0.179779D+02     -0.240874D+01
      0.116000D+02     -0.814945D+00     -0.587785D+00      0.386468D+00      0.179633D+02     -0.240055D+01
      0.117000D+02     -0.368304D+00     -0.951057D+00      0.612742D+00      0.179487D+02     -0.239244D+01
      0.118000D+02      0.218292D+00     -0.951057D+00      0.122953D+01      0.179341D+02     -0.238440D+01
      0.119000D+02      0.721245D+00     -0.587785D+00      0.222706D+01      0.179196D+02     -0.237642D+01
      0.120000D+02      0.949008D+00     -0.173469D-12      0.547075D+13      0.179050D+02     -0.236852D+01
      0.121000D+02      0.815028D+00      0.587785D+00      0.386609D+00      0.178904D+02     -0.236069D+01
      0.122000D+02      0.370645D+00      0.951057D+00      0.610281D+00      0.178759D+02     -0.235292D+01
      0.123000D+02     -0.214587D+00      0.951057D+00      0.122563D+01      0.178614D+02     -0.234522D+01
      0.124000D+02     -0.717589D+00      0.587785D+00      0.222084D+01      0.178469D+02     -0.233758D+01
      0.125000D+02     -0.946793D+00      0.184250D-12      0.513863D+13      0.178324D+02     -0.233001D+01
      0.126000D+02     -0.815098D+00     -0.587785D+00      0.386727D+00      0.178179D+02     -0.232250D+01
      0.127000D+02     -0.372970D+00     -0.951057D+00      0.607836D+00      0.178034D+02     -0.231505D+01
      0.128000D+02      0.210894D+00     -0.951057D+00      0.122175D+01      0.177890D+02     -0.230767D+01
      0.129000D+02      0.713936D+00     -0.587785D+00      0.221462D+01      0.177745D+02     -0.230034D+01
      0.130000D+02      0.944572D+00     -0.195031D-12      0.484320D+13      0.177601D+02     -0.229307D+01
      0.131000D+02      0.815154D+00      0.587785D+00      0.386822D+00      0.177456D+02     -0.228586D+01
      0.132000D+02      0.375280D+00      0.951057D+00      0.605407D+00      0.177312D+02     -0.227871D+01
      0.133000D+02     -0.207212D+00      0.951057D+00      0.121788D+01      0.177168D+02     -0.227162D+01
      0.134000D+02     -0.710286D+00      0.587785D+00      0.220841D+01      0.177024D+02     -0.226458D+01
      0.135000D+02     -0.942344D+00      0.205811D-12      0.457868D+13      0.176880D+02     -0.225760D+01
      0.136000D+02     -0.815196D+00     -0.587785D+00      0.386894D+00      0.176737D+02     -0.225067D+01
      0.137000D+02     -0.377574D+00     -0.951057D+00      0.602995D+00      0.176593D+02     -0.224379D+01
      0.138000D+02      0.203542D+00     -0.951057D+00      0.121402D+01      0.176450D+02     -0.223696D+01
      0.139000D+02      0.706639D+00     -0.587785D+00      0.220221D+01      0.176306D+02     -0.223019D+01
      0.140000D+02      0.940110D+00     -0.216592D-12      0.434047D+13      0.176163D+02     -0.222347D+01
      0.141000D+02      0.815224D+00      0.587785D+00      0.386942D+00      0.176020D+02     -0.221680D+01
      0.142000D+02      0.379853D+00      0.951057D+00      0.600599D+00      0.175877D+02     -0.221018D+01
      0.143000D+02     -0.199883D+00      0.951057D+00      0.121017D+01      0.175734D+02     -0.220360D+01
      0.144000D+02     -0.702995D+00      0.587785D+00      0.219601D+01      0.175591D+02     -0.219708D+01
      0.145000D+02     -0.937869D+00      0.227372D-12      0.412481D+13      0.175449D+02     -0.219060D+01
      0.146000D+02     -0.815239D+00     -0.587785D+00      0.386967D+00      0.175306D+02     -0.218417D+01
      0.147000D+02     -0.382116D+00     -0.951057D+00      0.598220D+00      0.175164D+02     -0.217779D+01
      0.148000D+02      0.196236D+00     -0.951057D+00      0.120633D+01      0.175021D+02     -0.217145D+01
      0.149000D+02      0.699355D+00     -0.587785D+00      0.218981D+01      0.174879D+02     -0.216516D+01
      0.150000D+02      0.935622D+00     -0.238153D-12      0.392866D+13      0.174737D+02     -0.215891D+01
      0.151000D+02      0.815240D+00      0.587785D+00      0.386970D+00      0.174595D+02     -0.215270D+01
      0.152000D+02      0.384363D+00      0.951057D+00      0.595857D+00      0.174453D+02     -0.214654D+01
      0.153000D+02     -0.192600D+00      0.951057D+00      0.120251D+01      0.174312D+02     -0.214042D+01
      0.154000D+02     -0.695717D+00      0.587785D+00      0.218363D+01      0.174170D+02     -0.213435D+01
      0.155000D+02     -0.933369D+00      0.248934D-12      0.374947D+13      0.174029D+02     -0.212831D+01
      0.156000D+02     -0.815228D+00     -0.587785D+00      0.386949D+00      0.173887D+02     -0.212232D+01
      0.157000D+02     -0.386595D+00     -0.951057D+00      0.593510D+00      0.173746D+02     -0.211636D+01
      0.158000D+02      0.188976D+00     -0.951057D+00      0.119870D+01      0.173605D+02     -0.211045D+01
      0.159000D+02      0.692083D+00     -0.587785D+00      0.217744D+01      0.173464D+02     -0.210457D+01
      0.160000D+02      0.931109D+00     -0.259714D-12      0.358513D+13      0.173323D+02     -0.209874D+01
      0.161000D+02      0.815203D+00      0.587785D+00      0.386906D+00      0.173182D+02     -0.209294D+01
      0.162000D+02      0.388812D+00      0.951057D+00      0.591179D+00      0.173041D+02     -0.208718D+01
      0.163000D+02     -0.185364D+00      0.951057D+00      0.119490D+01      0.172901D+02     -0.208146D+01
      0.164000D+02     -0.688452D+00      0.587785D+00      0.217127D+01      0.172760D+02     -0.207578D+01
      0.165000D+02     -0.928843D+00      0.227862D-12      0.407634D+13      0.172620D+02     -0.207013D+01
      0.166000D+02     -0.815164D+00     -0.587785D+00      0.386840D+00      0.172480D+02     -0.206452D+01
      0.167000D+02     -0.391013D+00     -0.951057D+00      0.588865D+00      0.172340D+02     -0.205895D+01
      0.168000D+02      0.181763D+00     -0.951057D+00      0.119112D+01      0.172200D+02     -0.205341D+01
      0.169000D+02      0.684825D+00     -0.587785D+00      0.216509D+01      0.172060D+02     -0.204790D+01
      0.170000D+02      0.926571D+00     -0.181799D-12      0.509666D+13      0.171920D+02     -0.204243D+01
      0.171000D+02      0.815112D+00      0.587785D+00      0.386751D+00      0.171780D+02     -0.203700D+01
      0.172000D+02      0.393199D+00      0.951057D+00      0.586566D+00      0.171641D+02     -0.203159D+01
      0.173000D+02     -0.178174D+00      0.951057D+00      0.118734D+01      0.171501D+02     -0.202623D+01
      0.174000D+02     -0.681201D+00      0.587785D+00      0.215893D+01      0.171362D+02     -0.202089D+01
      0.175000D+02     -0.924293D+00      0.135737D-12      0.680946D+13      0.171223D+02     -0.201559D+01
      0.176000D+02     -0.815047D+00     -0.587785D+00      0.386640D+00      0.171084D+02     -0.201032D+01
      0.177000D+02     -0.395370D+00     -0.951057D+00      0.584284D+00      0.170945D+02     -0.200508D+01
      0.178000D+02      0.174596D+00     -0.951057D+00      0.118358D+01      0.170806D+02     -0.199987D+01
      0.179000D+02      0.677580D+00     -0.587785D+00      0.215277D+01      0.170667D+02     -0.199469D+01
      0.180000D+02      0.922009D+00     -0.896739D-13      0.102818D+14      0.170528D+02     -0.198955D+01
      0.181000D+02      0.814968D+00      0.587785D+00      0.386507D+00      0.170390D+02     -0.198443D+01
      0.182000D+02      0.397525D+00      0.951057D+00      0.582018D+00      0.170251D+02     -0.197935D+01
      0.183000D+02     -0.171030D+00      0.951057D+00      0.117983D+01      0.170113D+02     -0.197429D+01
      0.184000D+02     -0.673963D+00      0.587785D+00      0.214662D+01      0.169975D+02     -0.196927D+01
      0.185000D+02     -0.919719D+00      0.436110D-13      0.210891D+14      0.169837D+02     -0.196427D+01
      0.186000D+02     -0.814877D+00     -0.587785D+00      0.386351D+00      0.169699D+02     -0.195930D+01
      0.187000D+02     -0.399665D+00     -0.951057D+00      0.579768D+00      0.169561D+02     -0.195437D+01
      0.188000D+02      0.167476D+00     -0.951057D+00      0.117609D+01      0.169423D+02     -0.194945D+01
      0.189000D+02      0.670350D+00     -0.587785D+00      0.214047D+01      0.169285D+02     -0.194457D+01
      0.190000D+02      0.917423D+00     -0.117591D-13      0.780182D+14      0.169148D+02     -0.193972D+01
      0.191000D+02      0.814772D+00      0.587785D+00      0.386173D+00      0.169011D+02     -0.193489D+01
      0.192000D+02      0.401789D+00      0.951057D+00      0.577534D+00      0.168873D+02     -0.193009D+01
      0.193000D+02     -0.163933D+00      0.951057D+00      0.117237D+01      0.168736D+02     -0.192532D+01
      0.194000D+02     -0.666740D+00      0.587785D+00      0.213433D+01      0.168599D+02     -0.192057D+01
      0.195000D+02     -0.915121D+00     -0.343037D-13      0.266770D+14      0.168462D+02     -0.191585D+01
      0.196000D+02     -0.814654D+00     -0.587785D+00      0.385973D+00      0.168325D+02     -0.191115D+01
      0.197000D+02     -0.403899D+00     -0.951057D+00      0.575316D+00      0.168188D+02     -0.190648D+01
      0.198000D+02      0.160402D+00     -0.951057D+00      0.116866D+01      0.168052D+02     -0.190184D+01
      0.199000D+02      0.663134D+00     -0.587785D+00      0.212819D+01      0.167915D+02     -0.189722D+01
      0.200000D+02      0.912814D+00      0.803665D-13      0.113581D+14      0.167779D+02     -0.189263D+01
      0.201000D+02      0.814524D+00      0.587785D+00      0.385750D+00      0.167643D+02     -0.188806D+01
      0.202000D+02      0.405993D+00      0.951057D+00      0.573114D+00      0.167506D+02     -0.188351D+01
      0.203000D+02     -0.156883D+00      0.951057D+00      0.116496D+01      0.167370D+02     -0.187899D+01
      0.204000D+02     -0.659531D+00      0.587785D+00      0.212206D+01      0.167234D+02     -0.187450D+01
      0.205000D+02     -0.910501D+00     -0.126429D-12      0.720165D+13      0.167098D+02     -0.187003D+01
      0.206000D+02     -0.814380D+00     -0.587785D+00      0.385506D+00      0.166963D+02     -0.186558D+01
      0.207000D+02     -0.408072D+00     -0.951057D+00      0.570928D+00      0.166827D+02     -0.186115D+01
      0.208000D+02      0.153375D+00     -0.951057D+00      0.116127D+01      0.166692D+02     -0.185675D+01
      0.209000D+02      0.655932D+00     -0.587785D+00      0.211594D+01      0.166556D+02     -0.185237D+01
      0.210000D+02      0.908182D+00      0.172492D-12      0.526506D+13      0.166421D+02     -0.184801D+01
      0.211000D+02      0.814224D+00      0.587785D+00      0.385240D+00      0.166286D+02     -0.184368D+01
      0.212000D+02      0.410136D+00      0.951057D+00      0.568758D+00      0.166150D+02     -0.183936D+01
      0.213000D+02     -0.149879D+00      0.951057D+00      0.115759D+01      0.166016D+02     -0.183507D+01
      0.214000D+02     -0.652337D+00      0.587785D+00      0.210982D+01      0.165881D+02     -0.183081D+01
      0.215000D+02     -0.905857D+00     -0.218555D-12      0.414476D+13      0.165746D+02     -0.182656D+01
      0.216000D+02     -0.814054D+00     -0.587785D+00      0.384952D+00      0.165611D+02     -0.182233D+01
      0.217000D+02     -0.412184D+00     -0.951057D+00      0.566604D+00      0.165477D+02     -0.181813D+01
      0.218000D+02      0.146395D+00     -0.951057D+00      0.115393D+01      0.165342D+02     -0.181394D+01
      0.219000D+02      0.648746D+00     -0.587785D+00      0.210371D+01      0.165208D+02     -0.180978D+01
      0.220000D+02      0.903527D+00      0.264618D-12      0.341446D+13      0.165074D+02     -0.180564D+01
      0.221000D+02      0.813872D+00      0.587785D+00      0.384643D+00      0.164940D+02     -0.180152D+01
      0.222000D+02      0.414218D+00      0.951057D+00      0.564465D+00      0.164806D+02     -0.179742D+01
      0.223000D+02     -0.142922D+00      0.951057D+00      0.115028D+01      0.164672D+02     -0.179334D+01
      0.224000D+02     -0.645159D+00      0.587785D+00      0.209761D+01      0.164538D+02     -0.178927D+01
      0.225000D+02     -0.901192D+00     -0.310681D-12      0.290070D+13      0.164404D+02     -0.178523D+01
      0.226000D+02     -0.813678D+00     -0.587785D+00      0.384311D+00      0.164271D+02     -0.178121D+01
      0.227000D+02     -0.416237D+00     -0.951057D+00      0.562343D+00      0.164137D+02     -0.177721D+01
      0.228000D+02      0.139461D+00     -0.951057D+00      0.114664D+01      0.164004D+02     -0.177322D+01
      0.229000D+02      0.641575D+00     -0.587785D+00      0.209151D+01      0.163871D+02     -0.176926D+01
      0.230000D+02      0.898851D+00      0.356743D-12      0.251960D+13      0.163738D+02     -0.176531D+01
      0.231000D+02      0.813471D+00      0.587785D+00      0.383959D+00      0.163605D+02     -0.176139D+01
      0.232000D+02      0.418240D+00      0.951057D+00      0.560236D+00      0.163472D+02     -0.175748D+01
      0.233000D+02     -0.136012D+00      0.951057D+00      0.114301D+01      0.163339D+02     -0.175359D+01
      0.234000D+02     -0.637996D+00      0.587785D+00      0.208542D+01      0.163206D+02     -0.174972D+01
      0.235000D+02     -0.896505D+00     -0.402806D-12      0.222565D+13      0.163074D+02     -0.174586D+01
      0.236000D+02     -0.813251D+00     -0.587785D+00      0.383585D+00      0.162941D+02     -0.174203D+01
      0.237000D+02     -0.420228D+00     -0.951057D+00      0.558146D+00      0.162809D+02     -0.173821D+01
      0.238000D+02      0.132575D+00     -0.951057D+00      0.113940D+01      0.162676D+02     -0.173441D+01
      0.239000D+02      0.634420D+00     -0.587785D+00      0.207934D+01      0.162544D+02     -0.173062D+01
      0.240000D+02      0.894154D+00      0.448869D-12      0.199202D+13      0.162412D+02     -0.172686D+01
      0.241000D+02      0.813018D+00      0.587785D+00      0.383190D+00      0.162280D+02     -0.172311D+01
      0.242000D+02      0.422202D+00      0.951057D+00      0.556071D+00      0.162148D+02     -0.171938D+01
      0.243000D+02     -0.129149D+00      0.951057D+00      0.113580D+01      0.162017D+02     -0.171566D+01
      0.244000D+02     -0.630849D+00      0.587785D+00      0.207326D+01      0.161885D+02     -0.171197D+01
      0.245000D+02     -0.891797D+00     -0.494932D-12      0.180186D+13      0.161754D+02     -0.170828D+01
      0.246000D+02     -0.812774D+00     -0.587785D+00      0.382773D+00      0.161622D+02     -0.170462D+01
      0.247000D+02     -0.424160D+00     -0.951057D+00      0.554011D+00      0.161491D+02     -0.170097D+01
      0.248000D+02      0.125735D+00     -0.951057D+00      0.113221D+01      0.161360D+02     -0.169734D+01
      0.249000D+02      0.627281D+00     -0.587785D+00      0.206719D+01      0.161229D+02     -0.169372D+01
      0.250000D+02      0.889436D+00      0.540995D-12      0.164407D+13      0.161098D+02     -0.169012D+01
      0.251000D+02      0.812516D+00      0.587785D+00      0.382335D+00      0.160967D+02     -0.168654D+01
      0.252000D+02      0.426104D+00      0.951057D+00      0.551968D+00      0.160836D+02     -0.168297D+01
      0.253000D+02     -0.122333D+00      0.951057D+00      0.112863D+01      0.160705D+02     -0.167942D+01
      0.254000D+02     -0.623718D+00      0.587785D+00      0.206113D+01      0.160575D+02     -0.167588D+01
      0.255000D+02     -0.887069D+00     -0.587057D-12      0.151104D+13      0.160444D+02     -0.167236D+01
      0.256000D+02     -0.812247D+00     -0.587785D+00      0.381877D+00      0.160314D+02     -0.166885D+01
      0.257000D+02     -0.428033D+00     -0.951057D+00      0.549940D+00      0.160184D+02     -0.166536D+01
      0.258000D+02      0.118943D+00     -0.951057D+00      0.112506D+01      0.160054D+02     -0.166188D+01
      0.259000D+02      0.620159D+00     -0.587785D+00      0.205508D+01      0.159924D+02     -0.165842D+01
      0.260000D+02      0.884697D+00      0.604699D-12      0.146304D+13      0.159794D+02     -0.165497D+01
      0.261000D+02      0.811965D+00      0.587785D+00      0.381397D+00      0.159664D+02     -0.165154D+01
      0.262000D+02      0.429946D+00      0.951057D+00      0.547928D+00      0.159534D+02     -0.164812D+01
      0.263000D+02     -0.115565D+00      0.951057D+00      0.112151D+01      0.159404D+02     -0.164471D+01
      0.264000D+02     -0.616604D+00      0.587785D+00      0.204903D+01      0.159275D+02     -0.164132D+01
      0.265000D+02     -0.882320D+00     -0.650761D-12      0.135583D+13      0.159146D+02     -0.163795D+01
      0.266000D+02     -0.811671D+00     -0.587785D+00      0.380897D+00      0.159016D+02     -0.163459D+01
      0.267000D+02     -0.431845D+00     -0.951057D+00      0.545931D+00      0.158887D+02     -0.163124D+01
      0.268000D+02      0.112198D+00     -0.951057D+00      0.111797D+01      0.158758D+02     -0.162791D+01
      0.269000D+02      0.613053D+00     -0.587785D+00      0.204299D+01      0.158629D+02     -0.162459D+01
      0.270000D+02      0.879939D+00      0.696824D-12      0.126278D+13      0.158500D+02     -0.162128D+01
      0.271000D+02      0.811364D+00      0.587785D+00      0.380376D+00      0.158371D+02     -0.161799D+01
      0.272000D+02      0.433729D+00      0.951057D+00      0.543950D+00      0.158243D+02     -0.161471D+01
