 #     x               legendre p( 4 ,x)
  -.665999            -0.375506903
  -.664999            -0.375811855
  -.663999            -0.376102622
  -.662999            -0.376379261
  -.661999            -0.376641830
  -.660999            -0.376890388
  -.659999            -0.377124992
  -.658999            -0.377345699
  -.657999            -0.377552568
  -.656999            -0.377745657
  -.655999            -0.377925022
  -.654999            -0.378090722
  -.653999            -0.378242813
  -.652999            -0.378381354
  -.651999            -0.378506401
  -.650999            -0.378618012
  -.649999            -0.378716244
  -.648999            -0.378801154
  -.647999            -0.378872800
  -.646999            -0.378931238
  -.645999            -0.378976525
  -.644999            -0.379008718
  -.643999            -0.379027874
  -.642999            -0.379034051
  -.641999            -0.379027303
  -.640999            -0.379007689
  -.639999            -0.378975265
  -.638999            -0.378930086
  -.637999            -0.378872211
  -.636999            -0.378801694
  -.635999            -0.378718593
  -.634999            -0.378622964
  -.633999            -0.378514862
  -.632999            -0.378394345
  -.631999            -0.378261467
  -.630999            -0.378116286
  -.629999            -0.377958856
  -.628999            -0.377789235
  -.627999            -0.377607477
  -.626999            -0.377413638
  -.625999            -0.377207774
  -.624999            -0.376989941
  -.623999            -0.376760194
  -.622999            -0.376518588
  -.621999            -0.376265179
  -.620999            -0.376000023
  -.619999            -0.375723174
  -.618999            -0.375434688
  -.617999            -0.375134619
  -.616999            -0.374823023
  -.615999            -0.374499956
  -.614999            -0.374165471
  -.613999            -0.373819623
  -.612999            -0.373462468
  -.611999            -0.373094060
  -.610999            -0.372714453
  -.609999            -0.372323703
  -.608999            -0.371921863
  -.607999            -0.371508989
  -.606999            -0.371085133
  -.605999            -0.370650352
  -.604999            -0.370204699
  -.603999            -0.369748227
  -.602999            -0.369280992
  -.601999            -0.368803047
  -.600999            -0.368314446
  -.599999            -0.367815243
  -.598999            -0.367305492
  -.597999            -0.366785246
  -.596999            -0.366254559
  -.595999            -0.365713485
  -.594999            -0.365162077
  -.593999            -0.364600388
  -.592999            -0.364028472
  -.591999            -0.363446383
  -.590999            -0.362854172
  -.589999            -0.362251895
  -.588999            -0.361639602
  -.587999            -0.361017349
  -.586999            -0.360385186
  -.585999            -0.359743168
  -.584999            -0.359091347
  -.583999            -0.358429776
  -.582999            -0.357758507
  -.581999            -0.357077593
  -.580999            -0.356387087
