#log10(N)          h      T-rule     S-rule    G-Quad       log10(eT)       log10(eS)       log10(eG)
        2.845718   0.0045  1.999997  2.000001  2.000000   -0.584451E+01   -0.644657E+01   -0.722472E+01
        2.850646   0.0044  1.999997  1.999999  1.999999   -0.580975E+01   -0.632163E+01   -0.627048E+01
        2.853090   0.0044  1.999997  2.000000  1.999999   -0.577756E+01   -0.692369E+01   -0.644657E+01
        2.857935   0.0044  1.999998  2.000000  1.999999   -0.594597E+01   -0.662266E+01   -0.652575E+01
        2.862728   0.0043  1.999997  1.999999  1.999998   -0.577756E+01   -0.632163E+01   -0.611078E+01
        2.865104   0.0043  1.999996  2.000001  1.999999   -0.570621E+01   -0.622472E+01   -0.637962E+01
        2.867467   0.0043  1.999997  2.000000  1.999999   -0.586299E+01   -0.662266E+01   -0.618333E+01
        2.869818   0.0042  1.999998  1.999999  2.000000   -0.592369E+01   -0.637962E+01   -0.662266E+01
        2.872156   0.0042  1.999996  1.999999  2.000000   -0.573336E+01   -0.652575E+01   -0.674760E+01
        2.874482   0.0042  1.999997  2.000001  1.999999   -0.579336E+01   -0.632163E+01   -0.644657E+01
        2.876795   0.0042  1.999998  2.000000  1.999999   -0.611078E+01   -0.662266E+01   -0.652575E+01
        2.879096   0.0042  1.999996  2.000001  1.999999   -0.574760E+01   -0.644657E+01   -0.622472E+01
        2.881385   0.0041  1.999996  1.999999  2.000000   -0.565652E+01   -0.652575E+01   -0.692369E+01
        2.885926   0.0041  1.999997  1.999999  1.999999   -0.576232E+01   -0.652575E+01   -0.632163E+01
        2.890421   0.0040  1.999998  2.000000  1.999999   -0.604863E+01   -0.722472E+01   -0.622472E+01
        2.892651   0.0040  1.999997  2.000001  2.000000   -0.576232E+01   -0.644657E+01   -0.662266E+01
        2.894870   0.0040  1.999998  2.000000  1.999999   -0.592369E+01   -0.662266E+01   -0.622472E+01
        2.901458   0.0039  1.999997  2.000001  1.999999   -0.580975E+01   -0.622472E+01   -0.637962E+01
        2.903633   0.0039  1.999997  1.999999  2.000001   -0.584451E+01   -0.644657E+01   -0.644657E+01
