 #  Runge-Kutta for damped harmonic oscillator
                #x                 y        analytical    Relative-error
 
      0.690000D+01      0.661136D-17     -0.587785D+00      0.100000D+01
      0.695000D+01      0.486332D-17     -0.309017D+00      0.100000D+01
      0.700000D+01      0.357728D-17     -0.108296D-12      0.100003D+01
      0.705000D+01      0.263119D-17      0.309017D+00      0.100000D+01
      0.710000D+01      0.193522D-17      0.587785D+00      0.100000D+01
      0.715000D+01      0.142327D-17      0.809017D+00      0.100000D+01
      0.720000D+01      0.104671D-17      0.951057D+00      0.100000D+01
      0.725000D+01      0.769739D-18      0.100000D+01      0.100000D+01
      0.730000D+01      0.566033D-18      0.951057D+00      0.100000D+01
      0.735000D+01      0.416217D-18      0.809017D+00      0.100000D+01
      0.740000D+01      0.306040D-18      0.587785D+00      0.100000D+01
      0.745000D+01      0.225019D-18      0.309017D+00      0.100000D+01
      0.750000D+01      0.165440D-18      0.119077D-12      0.999999D+00
      0.755000D+01      0.121630D-18     -0.309017D+00      0.100000D+01
      0.760000D+01      0.894183D-19     -0.587785D+00      0.100000D+01
      0.765000D+01      0.657344D-19     -0.809017D+00      0.100000D+01
      0.770000D+01      0.483216D-19     -0.951057D+00      0.100000D+01
      0.775000D+01      0.355200D-19     -0.100000D+01      0.100000D+01
      0.780000D+01      0.261087D-19     -0.951057D+00      0.100000D+01
      0.785000D+01      0.191903D-19     -0.809017D+00      0.100000D+01
      0.790000D+01      0.141046D-19     -0.587785D+00      0.100000D+01
      0.795000D+01      0.103663D-19     -0.309017D+00      0.100000D+01
      0.800000D+01      0.761853D-20     -0.129857D-12      0.100000D+01
      0.805000D+01      0.559888D-20      0.309017D+00      0.100000D+01
      0.810000D+01      0.411448D-20      0.587785D+00      0.100000D+01
      0.815000D+01      0.302352D-20      0.809017D+00      0.100000D+01
      0.820000D+01      0.222175D-20      0.951057D+00      0.100000D+01
      0.825000D+01      0.163253D-20      0.100000D+01      0.100000D+01
      0.830000D+01      0.119954D-20      0.951057D+00      0.100000D+01
      0.835000D+01      0.881353D-21      0.809017D+00      0.100000D+01
      0.840000D+01      0.647546D-21      0.587785D+00      0.100000D+01
      0.845000D+01      0.475748D-21      0.309017D+00      0.100000D+01
      0.850000D+01      0.349518D-21      0.908997D-13      0.100000D+01
      0.855000D+01      0.256771D-21     -0.309017D+00      0.100000D+01
      0.860000D+01      0.188629D-21     -0.587785D+00      0.100000D+01
      0.865000D+01      0.138566D-21     -0.809017D+00      0.100000D+01
      0.870000D+01      0.101787D-21     -0.951057D+00      0.100000D+01
      0.875000D+01      0.747676D-22     -0.100000D+01      0.100000D+01
      0.880000D+01      0.549188D-22     -0.951057D+00      0.100000D+01
      0.885000D+01      0.403380D-22     -0.809017D+00      0.100000D+01
      0.890000D+01      0.296275D-22     -0.587785D+00      0.100000D+01
      0.895000D+01      0.217602D-22     -0.309017D+00      0.100000D+01
      0.900000D+01      0.159815D-22     -0.448369D-13      0.100000D+01
      0.905000D+01      0.117370D-22      0.309017D+00      0.100000D+01
      0.910000D+01      0.861957D-23      0.587785D+00      0.100000D+01
      0.915000D+01      0.632997D-23      0.809017D+00      0.100000D+01
      0.920000D+01      0.464841D-23      0.951057D+00      0.100000D+01
      0.925000D+01      0.341346D-23      0.100000D+01      0.100000D+01
      0.930000D+01      0.250653D-23      0.951057D+00      0.100000D+01
      0.935000D+01      0.184052D-23      0.809017D+00      0.100000D+01
      0.940000D+01      0.135143D-23      0.587785D+00      0.100000D+01
      0.945000D+01      0.992286D-24      0.309017D+00      0.100000D+01
      0.950000D+01      0.728564D-24      0.587954D-14      0.100000D+01
      0.955000D+01      0.534917D-24     -0.309017D+00      0.100000D+01
      0.960000D+01      0.392730D-24     -0.587785D+00      0.100000D+01
      0.965000D+01      0.288330D-24     -0.809017D+00      0.100000D+01
      0.970000D+01      0.211678D-24     -0.951057D+00      0.100000D+01
      0.975000D+01      0.155399D-24     -0.100000D+01      0.100000D+01
      0.980000D+01      0.114080D-24     -0.951057D+00      0.100000D+01
      0.985000D+01      0.837458D-25     -0.809017D+00      0.100000D+01
      0.990000D+01      0.614758D-25     -0.587785D+00      0.100000D+01
      0.995000D+01      0.451267D-25     -0.309017D+00      0.100000D+01
      0.100000D+02      0.331248D-25      0.401833D-13      0.100000D+01
