 
      #t(days)          N(t)     N(t) True         error
  0.157000E+01  0.101582E+04  0.101582E+04  0.784947E-06
  0.158000E+01  0.101592E+04  0.101593E+04  0.789947E-06
  0.159000E+01  0.101603E+04  0.101603E+04  0.794947E-06
  0.160000E+01  0.101613E+04  0.101613E+04  0.799946E-06
  0.161000E+01  0.101623E+04  0.101623E+04  0.804946E-06
  0.162000E+01  0.101633E+04  0.101633E+04  0.809946E-06
  0.163000E+01  0.101643E+04  0.101643E+04  0.814945E-06
  0.164000E+01  0.101653E+04  0.101654E+04  0.819945E-06
  0.165000E+01  0.101664E+04  0.101664E+04  0.824945E-06
  0.166000E+01  0.101674E+04  0.101674E+04  0.829944E-06
  0.167000E+01  0.101684E+04  0.101684E+04  0.834944E-06
  0.168000E+01  0.101694E+04  0.101694E+04  0.839944E-06
  0.169000E+01  0.101704E+04  0.101704E+04  0.844943E-06
  0.170000E+01  0.101714E+04  0.101715E+04  0.849943E-06
  0.171000E+01  0.101725E+04  0.101725E+04  0.854943E-06
  0.172000E+01  0.101735E+04  0.101735E+04  0.859942E-06
  0.173000E+01  0.101745E+04  0.101745E+04  0.864942E-06
  0.174000E+01  0.101755E+04  0.101755E+04  0.869942E-06
  0.175000E+01  0.101765E+04  0.101765E+04  0.874941E-06
  0.176000E+01  0.101775E+04  0.101776E+04  0.879941E-06
  0.177000E+01  0.101786E+04  0.101786E+04  0.884941E-06
  0.178000E+01  0.101796E+04  0.101796E+04  0.889940E-06
  0.179000E+01  0.101806E+04  0.101806E+04  0.894940E-06
  0.180000E+01  0.101816E+04  0.101816E+04  0.899940E-06
  0.181000E+01  0.101826E+04  0.101826E+04  0.904939E-06
  0.182000E+01  0.101837E+04  0.101837E+04  0.909939E-06
  0.183000E+01  0.101847E+04  0.101847E+04  0.914939E-06
  0.184000E+01  0.101857E+04  0.101857E+04  0.919938E-06
  0.185000E+01  0.101867E+04  0.101867E+04  0.924938E-06
  0.186000E+01  0.101877E+04  0.101877E+04  0.929938E-06
  0.187000E+01  0.101887E+04  0.101888E+04  0.934937E-06
  0.188000E+01  0.101898E+04  0.101898E+04  0.939937E-06
  0.189000E+01  0.101908E+04  0.101908E+04  0.944937E-06
  0.190000E+01  0.101918E+04  0.101918E+04  0.949936E-06
  0.191000E+01  0.101928E+04  0.101928E+04  0.954936E-06
  0.192000E+01  0.101938E+04  0.101939E+04  0.959936E-06
  0.193000E+01  0.101949E+04  0.101949E+04  0.964935E-06
  0.194000E+01  0.101959E+04  0.101959E+04  0.969935E-06
  0.195000E+01  0.101969E+04  0.101969E+04  0.974934E-06
  0.196000E+01  0.101979E+04  0.101979E+04  0.979934E-06
  0.197000E+01  0.101989E+04  0.101990E+04  0.984934E-06
  0.198000E+01  0.102000E+04  0.102000E+04  0.989933E-06
  0.199000E+01  0.102010E+04  0.102010E+04  0.994933E-06
  0.200000E+01  0.102020E+04  0.102020E+04  0.999933E-06
  0.201000E+01  0.102030E+04  0.102030E+04  0.100493E-05
  0.202000E+01  0.102040E+04  0.102041E+04  0.100993E-05
  0.203000E+01  0.102051E+04  0.102051E+04  0.101493E-05
  0.204000E+01  0.102061E+04  0.102061E+04  0.101993E-05
  0.205000E+01  0.102071E+04  0.102071E+04  0.102493E-05
  0.206000E+01  0.102081E+04  0.102081E+04  0.102993E-05
  0.207000E+01  0.102091E+04  0.102092E+04  0.103493E-05
  0.208000E+01  0.102102E+04  0.102102E+04  0.103993E-05
  0.209000E+01  0.102112E+04  0.102112E+04  0.104493E-05
  0.210000E+01  0.102122E+04  0.102122E+04  0.104993E-05
  0.211000E+01  0.102132E+04  0.102132E+04  0.105493E-05
  0.212000E+01  0.102143E+04  0.102143E+04  0.105993E-05
  0.213000E+01  0.102153E+04  0.102153E+04  0.106493E-05
  0.214000E+01  0.102163E+04  0.102163E+04  0.106993E-05
  0.215000E+01  0.102173E+04  0.102173E+04  0.107493E-05
  0.216000E+01  0.102183E+04  0.102183E+04  0.107993E-05
  0.217000E+01  0.102194E+04  0.102194E+04  0.108493E-05
  0.218000E+01  0.102204E+04  0.102204E+04  0.108993E-05
  0.219000E+01  0.102214E+04  0.102214E+04  0.109493E-05
  0.220000E+01  0.102224E+04  0.102224E+04  0.109993E-05
  0.221000E+01  0.102234E+04  0.102235E+04  0.110493E-05
  0.222000E+01  0.102245E+04  0.102245E+04  0.110993E-05
  0.223000E+01  0.102255E+04  0.102255E+04  0.111493E-05
  0.224000E+01  0.102265E+04  0.102265E+04  0.111992E-05
  0.225000E+01  0.102275E+04  0.102276E+04  0.112492E-05
  0.226000E+01  0.102286E+04  0.102286E+04  0.112992E-05
  0.227000E+01  0.102296E+04  0.102296E+04  0.113492E-05
  0.228000E+01  0.102306E+04  0.102306E+04  0.113992E-05
  0.229000E+01  0.102316E+04  0.102316E+04  0.114492E-05
  0.230000E+01  0.102327E+04  0.102327E+04  0.114992E-05
  0.231000E+01  0.102337E+04  0.102337E+04  0.115492E-05
  0.232000E+01  0.102347E+04  0.102347E+04  0.115992E-05
  0.233000E+01  0.102357E+04  0.102357E+04  0.116492E-05
  0.234000E+01  0.102367E+04  0.102368E+04  0.116992E-05
  0.235000E+01  0.102378E+04  0.102378E+04  0.117492E-05
  0.236000E+01  0.102388E+04  0.102388E+04  0.117992E-05
  0.237000E+01  0.102398E+04  0.102398E+04  0.118492E-05
  0.238000E+01  0.102408E+04  0.102409E+04  0.118992E-05
  0.239000E+01  0.102419E+04  0.102419E+04  0.119492E-05
  0.240000E+01  0.102429E+04  0.102429E+04  0.119992E-05
  0.241000E+01  0.102439E+04  0.102439E+04  0.120492E-05
  0.242000E+01  0.102449E+04  0.102450E+04  0.120992E-05
  0.243000E+01  0.102460E+04  0.102460E+04  0.121492E-05
  0.244000E+01  0.102470E+04  0.102470E+04  0.121992E-05
  0.245000E+01  0.102480E+04  0.102480E+04  0.122492E-05
  0.246000E+01  0.102490E+04  0.102491E+04  0.122992E-05
  0.247000E+01  0.102501E+04  0.102501E+04  0.123492E-05
  0.248000E+01  0.102511E+04  0.102511E+04  0.123992E-05
  0.249000E+01  0.102521E+04  0.102521E+04  0.124492E-05
  0.250000E+01  0.102531E+04  0.102532E+04  0.124992E-05
  0.251000E+01  0.102542E+04  0.102542E+04  0.125492E-05
  0.252000E+01  0.102552E+04  0.102552E+04  0.125992E-05
  0.253000E+01  0.102562E+04  0.102562E+04  0.126491E-05
  0.254000E+01  0.102572E+04  0.102573E+04  0.126991E-05
  0.255000E+01  0.102583E+04  0.102583E+04  0.127491E-05
  0.256000E+01  0.102593E+04  0.102593E+04  0.127991E-05
  0.257000E+01  0.102603E+04  0.102603E+04  0.128491E-05
  0.258000E+01  0.102613E+04  0.102614E+04  0.128991E-05
  0.259000E+01  0.102624E+04  0.102624E+04  0.129491E-05
  0.260000E+01  0.102634E+04  0.102634E+04  0.129991E-05
  0.261000E+01  0.102644E+04  0.102644E+04  0.130491E-05
  0.262000E+01  0.102654E+04  0.102655E+04  0.130991E-05
  0.263000E+01  0.102665E+04  0.102665E+04  0.131491E-05
  0.264000E+01  0.102675E+04  0.102675E+04  0.131991E-05
  0.265000E+01  0.102685E+04  0.102685E+04  0.132491E-05
  0.266000E+01  0.102696E+04  0.102696E+04  0.132991E-05
  0.267000E+01  0.102706E+04  0.102706E+04  0.133491E-05
  0.268000E+01  0.102716E+04  0.102716E+04  0.133991E-05
  0.269000E+01  0.102726E+04  0.102727E+04  0.134491E-05
  0.270000E+01  0.102737E+04  0.102737E+04  0.134991E-05
  0.271000E+01  0.102747E+04  0.102747E+04  0.135491E-05
  0.272000E+01  0.102757E+04  0.102757E+04  0.135991E-05
  0.273000E+01  0.102767E+04  0.102768E+04  0.136491E-05
  0.274000E+01  0.102778E+04  0.102778E+04  0.136991E-05
  0.275000E+01  0.102788E+04  0.102788E+04  0.137491E-05
  0.276000E+01  0.102798E+04  0.102798E+04  0.137991E-05
  0.277000E+01  0.102809E+04  0.102809E+04  0.138491E-05
  0.278000E+01  0.102819E+04  0.102819E+04  0.138991E-05
  0.279000E+01  0.102829E+04  0.102829E+04  0.139491E-05
  0.280000E+01  0.102839E+04  0.102840E+04  0.139991E-05
  0.281000E+01  0.102850E+04  0.102850E+04  0.140491E-05
  0.282000E+01  0.102860E+04  0.102860E+04  0.140990E-05
  0.283000E+01  0.102870E+04  0.102870E+04  0.141490E-05
  0.284000E+01  0.102881E+04  0.102881E+04  0.141990E-05
  0.285000E+01  0.102891E+04  0.102891E+04  0.142490E-05
  0.286000E+01  0.102901E+04  0.102901E+04  0.142990E-05
  0.287000E+01  0.102911E+04  0.102912E+04  0.143490E-05
  0.288000E+01  0.102922E+04  0.102922E+04  0.143990E-05
  0.289000E+01  0.102932E+04  0.102932E+04  0.144490E-05
  0.290000E+01  0.102942E+04  0.102942E+04  0.144990E-05
  0.291000E+01  0.102953E+04  0.102953E+04  0.145490E-05
  0.292000E+01  0.102963E+04  0.102963E+04  0.145990E-05
  0.293000E+01  0.102973E+04  0.102973E+04  0.146490E-05
  0.294000E+01  0.102983E+04  0.102984E+04  0.146990E-05
  0.295000E+01  0.102994E+04  0.102994E+04  0.147490E-05
  0.296000E+01  0.103004E+04  0.103004E+04  0.147990E-05
