   #x=   0.10
             #h           3-point     Error             5-point          Error
        0.5128E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4872E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4628E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4397E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4177E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3968E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3769E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3581E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3402E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3232E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3070E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2917E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2771E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2632E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2501E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2376E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2257E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2144E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2037E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1935E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1838E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1746E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1659E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1576E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1497E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1422E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1351E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1284E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1220E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1159E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1101E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1046E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9933E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9437E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8965E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8517E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8091E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7686E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7302E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6937E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6590E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6261E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5947E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5650E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5368E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5099E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4844E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4602E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4372E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4153E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3946E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3748E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3561E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3383E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3214E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3053E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2900E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2755E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2618E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2487E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2362E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2244E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2132E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2025E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1924E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1828E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1737E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1650E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1567E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1489E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1414E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1344E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1277E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1213E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1152E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1094E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1040E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
