              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.117427E-09    0.106865E+14    0.529225E-05    0.106862E+14    0.242798E-04    0.106862E+14    0.242798E-04
    0.939417E-10    0.106864E+14    0.910464E-05    0.106864E+14    0.910464E-05    0.106875E+14    0.920627E-04
    0.751534E-10    0.106866E+14    0.791871E-05    0.106866E+14    0.103506E-04    0.106853E+14    0.112866E-03
    0.601227E-10    0.106864E+14    0.241690E-05    0.106871E+14    0.583808E-04    0.106871E+14    0.543276E-04
    0.480982E-10    0.106861E+14    0.335757E-04    0.106861E+14    0.335757E-04    0.106882E+14    0.164017E-03
    0.384785E-10    0.106867E+14    0.224722E-04    0.106858E+14    0.677744E-04    0.106883E+14    0.172883E-03
    0.307828E-10    0.106870E+14    0.450338E-04    0.106858E+14    0.677744E-04    0.106858E+14    0.677744E-04
    0.246263E-10    0.106870E+14    0.450338E-04    0.106870E+14    0.524554E-04    0.106869E+14    0.425599E-04
    0.197010E-10    0.106858E+14    0.607239E-04    0.106878E+14    0.124816E-03    0.106824E+14    0.382326E-03
    0.157608E-10    0.106858E+14    0.676817E-04    0.106858E+14    0.676817E-04    0.106859E+14    0.522200E-04
    0.126086E-10    0.106863E+14    0.125995E-04    0.106894E+14    0.277307E-03    0.106814E+14    0.476449E-03
    0.100869E-10    0.106856E+14    0.778284E-04    0.106893E+14    0.266435E-03    0.106896E+14    0.290594E-03
    0.806953E-11    0.106847E+14    0.163894E-03    0.106896E+14    0.289084E-03    0.106892E+14    0.258885E-03
    0.645562E-11    0.106859E+14    0.506497E-04    0.106917E+14    0.487262E-03    0.106759E+14    0.984917E-03
    0.516450E-11    0.106886E+14    0.197073E-03    0.106886E+14    0.197073E-03    0.106699E+14    0.154878E-02
    0.413160E-11    0.106870E+14    0.466699E-04    0.106775E+14    0.838053E-03    0.107021E+14    0.146223E-02
    0.330528E-11    0.106825E+14    0.373574E-03    0.106825E+14    0.373574E-03    0.107140E+14    0.257550E-02
    0.264422E-11    0.106822E+14    0.401221E-03    0.106829E+14    0.332102E-03    0.106819E+14    0.424261E-03
    0.211538E-11    0.106789E+14    0.712257E-03    0.106964E+14    0.929319E-03    0.106976E+14    0.104452E-02
    0.169230E-11    0.106779E+14    0.798655E-03    0.106791E+14    0.690657E-03    0.106806E+14    0.546659E-03
    0.135384E-11    0.106843E+14    0.204664E-03    0.107117E+14    0.236030E-02    0.106367E+14    0.465960E-02
    0.108307E-11    0.106901E+14    0.335328E-03    0.106558E+14    0.287087E-02    0.106582E+14    0.264588E-02
    0.866459E-12    0.106914E+14    0.461889E-03    0.106914E+14    0.461889E-03    0.106884E+14    0.180643E-03
    0.693167E-12    0.106790E+14    0.698251E-03    0.107354E+14    0.457511E-02    0.107354E+14    0.457511E-02
    0.554534E-12    0.106790E+14    0.698251E-03    0.106825E+14    0.368666E-03    0.106778E+14    0.808112E-03
    0.443627E-12    0.106940E+14    0.702486E-03    0.106147E+14    0.671318E-02    0.106089E+14    0.726249E-02
    0.354902E-12    0.106929E+14    0.599490E-03    0.106984E+14    0.111447E-02    0.106984E+14    0.111447E-02
    0.283921E-12    0.106970E+14    0.985723E-03    0.106970E+14    0.985723E-03    0.106878E+14    0.127429E-03
    0.227137E-12    0.106970E+14    0.985723E-03    0.106970E+14    0.985723E-03    0.106970E+14    0.985723E-03
    0.181710E-12    0.106519E+14    0.323869E-02    0.108668E+14    0.168776E-01    0.108525E+14    0.155365E-01
    0.145368E-12    0.107083E+14    0.204183E-02    0.104396E+14    0.231035E-01    0.104575E+14    0.214272E-01
    0.116294E-12    0.107654E+14    0.738521E-02    0.104463E+14    0.224749E-01    0.104463E+14    0.224749E-01
    0.930354E-13    0.106016E+14    0.793773E-02    0.106016E+14    0.793773E-02    0.116933E+14    0.942152E-01
    0.744283E-13    0.107066E+14    0.188467E-02    0.102080E+14    0.447717E-01    0.102430E+14    0.414976E-01
    0.595426E-13    0.108247E+14    0.129349E-01    0.102015E+14    0.453856E-01    0.101577E+14    0.494783E-01
    0.476341E-13    0.103327E+14    0.331076E-01    0.111527E+14    0.436299E-01    0.907526E+13    0.150772E+00
    0.381073E-13    0.109170E+14    0.215678E-01    0.999440E+13    0.647618E-01    0.126596E+14    0.184635E+00
    0.304858E-13    0.112117E+14    0.491454E-01    0.993033E+13    0.707570E-01    0.984491E+13    0.787504E-01
    0.243887E-13    0.108913E+14    0.191698E-01    0.936975E+13    0.123214E+00    0.133205E+14    0.246485E+00
    0.195109E-13    0.971010E+13    0.913652E-01    0.117122E+14    0.959822E-01    0.650677E+13    0.391121E+00
    0.156087E-13    0.963502E+13    0.983907E-01    0.963502E+13    0.983907E-01    0.980187E+13    0.827784E-01
    0.124870E-13    0.120438E+14    0.127012E+00    0.120438E+14    0.127012E+00    0.122523E+14    0.146527E+00
