              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.110428E-05   -0.998340E-01    0.550321E-05   -0.998334E-01    0.375582E-09   -0.998334E-01    0.171833E-08
    0.883424E-06   -0.998339E-01    0.440350E-05   -0.998334E-01    0.127948E-09   -0.998334E-01    0.127948E-09
    0.706739E-06   -0.998338E-01    0.352201E-05   -0.998334E-01    0.113088E-08   -0.998334E-01    0.306521E-08
    0.565391E-06   -0.998337E-01    0.281785E-05   -0.998334E-01    0.737495E-09   -0.998334E-01    0.336005E-08
    0.452313E-06   -0.998336E-01    0.225531E-05   -0.998334E-01    0.737691E-09   -0.998334E-01    0.254050E-08
    0.361850E-06   -0.998336E-01    0.180354E-05   -0.998334E-01    0.491631E-09   -0.998334E-01    0.491631E-09
    0.289480E-06   -0.998336E-01    0.144627E-05   -0.998334E-01    0.181335E-08   -0.998334E-01    0.693552E-08
    0.231584E-06   -0.998335E-01    0.115430E-05   -0.998334E-01    0.298869E-08   -0.998334E-01    0.939140E-08
    0.185267E-06   -0.998335E-01    0.925005E-06   -0.998334E-01    0.538971E-08   -0.998334E-01    0.106171E-07
    0.148214E-06   -0.998335E-01    0.740427E-06   -0.998334E-01    0.238843E-08   -0.998334E-01    0.238843E-08
    0.118571E-06   -0.998335E-01    0.592239E-06   -0.998334E-01    0.136316E-08   -0.998334E-01    0.136316E-08
    0.948569E-07   -0.998335E-01    0.475001E-06   -0.998334E-01    0.567108E-08   -0.998334E-01    0.213027E-07
    0.758855E-07   -0.998335E-01    0.384143E-06   -0.998334E-01    0.115329E-07   -0.998334E-01    0.275461E-07
    0.607084E-07   -0.998334E-01    0.307206E-06   -0.998334E-01    0.420561E-08   -0.998334E-01    0.420561E-08
    0.485667E-07   -0.998334E-01    0.261410E-06   -0.998334E-01    0.133648E-07   -0.998334E-01    0.133648E-07
    0.388534E-07   -0.998334E-01    0.198441E-06   -0.998334E-01    0.191582E-08   -0.998334E-01    0.191582E-08
    0.310827E-07   -0.998334E-01    0.169818E-06   -0.998334E-01    0.907141E-08   -0.998334E-01    0.386325E-07
    0.248662E-07   -0.998334E-01    0.134040E-06   -0.998334E-01    0.126925E-09   -0.998334E-01    0.595030E-07
    0.198929E-07   -0.998334E-01    0.134040E-06   -0.998334E-01    0.222343E-07   -0.998334E-01    0.222343E-07
    0.159143E-07   -0.998334E-01    0.921131E-07   -0.998334E-01    0.222343E-07   -0.998334E-01    0.164109E-06
