              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.138035E-05   -0.129542E+00    0.297586E+00   -0.863617E-01    0.134942E+00   -0.863617E-01    0.134942E+00
    0.110428E-05   -0.107952E+00    0.813219E-01   -0.107952E+00    0.813219E-01   -0.107952E+00    0.813219E-01
    0.883424E-06   -0.134940E+00    0.351652E+00   -0.134940E+00    0.351652E+00   -0.134940E+00    0.351652E+00
    0.706739E-06   -0.843375E-01    0.155217E+00   -0.843375E-01    0.155217E+00   -0.196788E+00    0.971160E+00
    0.565391E-06   -0.105422E+00    0.559783E-01   -0.105422E+00    0.559783E-01    0.351406E-01    0.135199E+01
    0.452313E-06   -0.131777E+00    0.319973E+00   -0.131777E+00    0.319973E+00    0.439258E-01    0.143999E+01
    0.361850E-06   -0.164722E+00    0.649966E+00   -0.164722E+00    0.649966E+00    0.549073E-01    0.154999E+01
    0.289480E-06   -0.205902E+00    0.106246E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.231584E-06   -0.257378E+00    0.157807E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.185267E-06   -0.321722E+00    0.222259E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.148214E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.118571E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
