              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.220856E-08    0.500000E+00    0.732115E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.106724E-06
    0.176685E-08    0.500000E+00    0.273267E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.307801E-06
    0.141348E-08    0.500000E+00    0.224019E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.142527E-06
    0.113078E-08    0.500000E+00    0.116176E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.446564E-06
    0.904626E-09    0.500000E+00    0.116176E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.116176E-07
    0.723701E-09    0.500000E+00    0.134345E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.236618E-06
    0.578960E-09    0.500000E+00    0.190642E-07    0.500000E+00    0.268930E+01    0.500001E+00    0.113150E-05
    0.463168E-09    0.500000E+00    0.402587E-06    0.500000E+00    0.268930E+01    0.499999E+00    0.184080E-05
    0.370535E-09    0.500000E+00    0.768165E-07    0.500000E+00    0.268930E+01    0.499999E+00    0.152120E-05
    0.296428E-09    0.500000E+00    0.768165E-07    0.500000E+00    0.268930E+01    0.500000E+00    0.768165E-07
    0.237142E-09    0.500000E+00    0.451351E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.763462E-06
    0.189714E-09    0.500000E+00    0.953152E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.953152E-06
    0.151771E-09    0.500000E+00    0.217267E-06    0.500000E+00    0.268930E+01    0.499998E+00    0.368413E-05
    0.121417E-09    0.499999E+00    0.124576E-05    0.500000E+00    0.268930E+01    0.499997E+00    0.673210E-05
    0.971334E-10    0.500000E+00    0.331367E-06    0.499999E+00    0.268930E+01    0.500000E+00    0.430624E-06
    0.777068E-10    0.500000E+00    0.331367E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.331367E-06
    0.621654E-10    0.500000E+00    0.331367E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.331367E-06
    0.497323E-10    0.499999E+00    0.211728E-05    0.499997E+00    0.268930E+01    0.500006E+00    0.112771E-04
    0.397859E-10    0.500001E+00    0.234751E-05    0.500001E+00    0.268930E+01    0.499994E+00    0.125351E-04
    0.318287E-10    0.500001E+00    0.234751E-05    0.500001E+00    0.268930E+01    0.500001E+00    0.234751E-05
    0.254629E-10    0.499996E+00    0.811685E-05    0.499996E+00    0.268930E+01    0.499996E+00    0.811685E-05
    0.203704E-10    0.500000E+00    0.603449E-06    0.500000E+00    0.268930E+01    0.499986E+00    0.284642E-04
    0.162963E-10    0.500000E+00    0.603449E-06    0.500000E+00    0.268930E+01    0.500000E+00    0.603449E-06
    0.130370E-10    0.500004E+00    0.741618E-05    0.499995E+00    0.268930E+01    0.500007E+00    0.130935E-04
    0.104296E-10    0.499991E+00    0.181316E-04    0.499991E+00    0.268930E+01    0.499991E+00    0.181316E-04
    0.834370E-11    0.499991E+00    0.181316E-04    0.500004E+00    0.268930E+01    0.499986E+00    0.270023E-04
    0.667496E-11    0.499978E+00    0.447438E-04    0.499994E+00    0.268930E+01    0.499972E+00    0.558323E-04
    0.533997E-11    0.499978E+00    0.447438E-04    0.499998E+00    0.268930E+01    0.500026E+00    0.522800E-04
    0.427197E-11    0.499967E+00    0.655346E-04    0.500019E+00    0.268930E+01    0.500019E+00    0.384195E-04
    0.341758E-11    0.499954E+00    0.915232E-04    0.500019E+00    0.268930E+01    0.500019E+00    0.384195E-04
    0.273406E-11    0.499954E+00    0.915232E-04    0.499995E+00    0.268930E+01    0.500049E+00    0.979765E-04
    0.218725E-11    0.499975E+00    0.509161E-04    0.499975E+00    0.268930E+01    0.499975E+00    0.509161E-04
    0.174980E-11    0.499975E+00    0.509161E-04    0.499975E+00    0.268930E+01    0.499975E+00    0.509161E-04
    0.139984E-11    0.499975E+00    0.509161E-04    0.499975E+00    0.268930E+01    0.499975E+00    0.509161E-04
    0.111987E-11    0.499856E+00    0.288848E-03    0.500054E+00    0.268930E+01    0.499789E+00    0.421033E-03
    0.895898E-12    0.499905E+00    0.189710E-03    0.499905E+00    0.268930E+01    0.499905E+00    0.189710E-03
    0.716718E-12    0.500029E+00    0.581361E-04    0.500029E+00    0.268930E+01    0.499616E+00    0.768017E-03
    0.573375E-12    0.499952E+00    0.967676E-04    0.499758E+00    0.268930E+01    0.500533E+00    0.106501E-02
    0.458700E-12    0.500048E+00    0.968620E-04    0.499806E+00    0.268930E+01    0.500129E+00    0.258220E-03
    0.366960E-12    0.499806E+00    0.387212E-03    0.500109E+00    0.268930E+01    0.498899E+00    0.220249E-02
    0.293568E-12    0.499958E+00    0.846657E-04    0.499579E+00    0.268930E+01    0.500084E+00    0.167456E-03
    0.234854E-12    0.500147E+00    0.293517E-03    0.499674E+00    0.268930E+01    0.500304E+00    0.608669E-03
    0.187883E-12    0.499910E+00    0.179211E-03    0.499319E+00    0.268930E+01    0.501683E+00    0.336625E-02
    0.150307E-12    0.499319E+00    0.136103E-02    0.500058E+00    0.268930E+01    0.497104E+00    0.579286E-02
    0.120245E-12    0.500427E+00    0.854882E-03    0.499504E+00    0.268930E+01    0.498273E+00    0.345384E-02
    0.961963E-13    0.498581E+00    0.283831E-02    0.499735E+00    0.268930E+01    0.501274E+00    0.254759E-02
    0.769570E-13    0.499158E+00    0.168419E-02    0.499158E+00    0.268930E+01    0.499158E+00    0.168419E-02
    0.615656E-13    0.497715E+00    0.456949E-02    0.499519E+00    0.268930E+01    0.497114E+00    0.577170E-02
    0.492525E-13    0.500420E+00    0.840456E-03    0.498166E+00    0.268930E+01    0.495161E+00    0.967889E-02
    0.394020E-13    0.495912E+00    0.817613E-02    0.498730E+00    0.268930E+01    0.502487E+00    0.497306E-02
    0.315216E-13    0.500138E+00    0.276919E-03    0.496616E+00    0.268930E+01    0.491920E+00    0.161596E-01
    0.252173E-13    0.501900E+00    0.379902E-02    0.497497E+00    0.268930E+01    0.503367E+00    0.673411E-02
    0.201738E-13    0.495296E+00    0.940886E-02    0.495296E+00    0.268930E+01    0.495296E+00    0.940886E-02
    0.161391E-13    0.495296E+00    0.940886E-02    0.502175E+00    0.268930E+01    0.493003E+00    0.139949E-01
    0.129112E-13    0.498735E+00    0.252976E-02    0.490136E+00    0.268930E+01    0.501601E+00    0.320283E-02
    0.103290E-13    0.494436E+00    0.111286E-01    0.494436E+00    0.268930E+01    0.523099E+00    0.461972E-01
