   #x=  30.00
             #h           3-point     Error             5-point          Error
        0.1766E-02     -0.1484E+00    0.376914E-01       -0.15E+00        0.89E-02
        0.1678E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.67E-02
        0.1594E-02     -0.1641E+00    0.636042E-01       -0.16E+00        0.14E-01
        0.1514E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.11E-01
        0.1438E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.41E-02
        0.1367E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.34E-01
        0.1298E-02     -0.1562E+00    0.129564E-01       -0.14E+00        0.83E-01
        0.1233E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.16E-01
        0.1172E-02     -0.1875E+00    0.215548E+00       -0.14E+00        0.62E-01
        0.1113E-02     -0.1719E+00    0.114252E+00       -0.16E+00        0.40E-01
        0.1057E-02     -0.1562E+00    0.129564E-01       -0.14E+00        0.78E-01
        0.1005E-02     -0.1875E+00    0.215548E+00       -0.16E+00        0.21E-01
        0.9543E-03     -0.1875E+00    0.215548E+00       -0.17E+00        0.13E+00
        0.9066E-03     -0.1562E+00    0.129564E-01       -0.15E+00        0.60E-01
        0.8613E-03     -0.1562E+00    0.129564E-01       -0.16E+00        0.42E-01
        0.8182E-03     -0.1875E+00    0.215548E+00       -0.12E+00        0.23E+00
        0.7773E-03     -0.1875E+00    0.215548E+00       -0.13E+00        0.15E+00
        0.7384E-03     -0.1250E+00    0.189635E+00       -0.15E+00        0.55E-01
        0.7015E-03     -0.1875E+00    0.215548E+00       -0.16E+00        0.47E-01
        0.6664E-03     -0.1250E+00    0.189635E+00       -0.18E+00        0.16E+00
        0.6331E-03     -0.1875E+00    0.215548E+00       -0.20E+00        0.29E+00
        0.6015E-03     -0.1875E+00    0.215548E+00       -0.22E+00        0.42E+00
        0.5714E-03     -0.1875E+00    0.215548E+00       -0.24E+00        0.58E+00
        0.5428E-03     -0.1875E+00    0.215548E+00       -0.13E+00        0.13E+00
        0.5157E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.4899E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.4654E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.4421E-03     -0.3750E+00    0.143110E+01        0.00E+00        0.10E+01
        0.4200E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.3990E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.3791E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.3601E-03     -0.5000E+00    0.224146E+01       -0.31E+00        0.99E+00
        0.3421E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.3250E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.3088E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.2933E-03     -0.2500E+00    0.620730E+00        0.00E+00        0.10E+01
        0.2787E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2647E-03     -0.5000E+00    0.224146E+01        0.00E+00        0.10E+01
        0.2515E-03     -0.5000E+00    0.224146E+01        0.00E+00        0.10E+01
        0.2389E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2270E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2156E-03     -0.5000E+00    0.224146E+01        0.00E+00        0.10E+01
        0.2048E-03     -0.1000E+01    0.548292E+01        0.00E+00        0.10E+01
        0.1946E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1849E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
