   #x=   1.00
             #h           3-point     Error             5-point          Error
        0.7384E-03     -0.5000E+00    0.745921E-01       -0.29E+00        0.46E+00
        0.7015E-03     -0.5000E+00    0.745921E-01       -0.65E+00        0.20E+00
        0.6664E-03     -0.5000E+00    0.745921E-01       -0.72E+00        0.32E+00
        0.6331E-03     -0.2500E+00    0.537296E+00        0.00E+00        0.10E+01
        0.6015E-03     -0.2500E+00    0.537296E+00        0.00E+00        0.10E+01
        0.5714E-03     -0.5000E+00    0.745921E-01       -0.49E+00        0.99E-01
        0.5428E-03     -0.7500E+00    0.388112E+00       -0.54E+00        0.16E-02
        0.5157E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4899E-03     -0.5000E+00    0.745921E-01       -0.66E+00        0.23E+00
        0.4654E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4421E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4200E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3990E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3791E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3601E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3421E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3250E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3088E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2933E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2787E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2647E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2515E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2389E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2270E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2156E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2048E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1946E-03      0.4000E+01    0.840326E+01        0.42E+01        0.88E+01
        0.1849E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1756E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1668E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1585E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1506E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1430E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1359E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1291E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1226E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1165E-03      0.8000E+01    0.158065E+02        0.12E+02        0.23E+02
        0.1107E-03      0.8000E+01    0.158065E+02        0.13E+02        0.25E+02
        0.1052E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9989E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9490E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9015E-04      0.8000E+01    0.158065E+02        0.20E+02        0.37E+02
        0.8565E-04      0.1600E+02    0.306131E+02        0.22E+02        0.41E+02
        0.8136E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7730E-04      0.1600E+02    0.306131E+02        0.27E+02        0.50E+02
        0.7343E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6976E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6627E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6296E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5981E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5682E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
