              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.231584E-06    0.110517E+01    0.115299E-06    0.110517E+01    0.780128E-09    0.110517E+01    0.780128E-09
    0.185267E-06    0.110517E+01    0.920913E-07    0.110517E+01    0.874365E-10    0.110517E+01    0.874365E-10
    0.148214E-06    0.110517E+01    0.739267E-07    0.110517E+01    0.725905E-09    0.110517E+01    0.253333E-08
    0.118571E-06    0.110517E+01    0.586765E-07    0.110517E+01    0.106480E-08    0.110517E+01    0.119449E-08
    0.948569E-07    0.110517E+01    0.472389E-07    0.110517E+01    0.641182E-09    0.110517E+01    0.346529E-08
    0.758855E-07    0.110517E+01    0.382371E-07    0.110517E+01    0.147690E-08    0.110517E+01    0.558336E-08
    0.607084E-07    0.110517E+01    0.283086E-07    0.110517E+01    0.147690E-08    0.110517E+01    0.147690E-08
    0.485667E-07    0.110517E+01    0.241717E-07    0.110517E+01    0.649522E-09    0.110517E+01    0.616535E-08
    0.388534E-07    0.110517E+01    0.190006E-07    0.110517E+01    0.168374E-08    0.110517E+01    0.521105E-08
    0.310827E-07    0.110517E+01    0.125368E-07    0.110517E+01    0.390968E-09    0.110517E+01    0.822751E-08
    0.248662E-07    0.110517E+01    0.109208E-07    0.110517E+01    0.284096E-08    0.110517E+01    0.284096E-08
    0.198929E-07    0.110517E+01    0.890083E-08    0.110517E+01    0.119895E-08    0.110517E+01    0.119895E-08
    0.159143E-07    0.110517E+01    0.119895E-08    0.110517E+01    0.119895E-08    0.110517E+01    0.119895E-08
    0.127315E-07    0.110517E+01    0.435513E-08    0.110517E+01    0.435513E-08    0.110517E+01    0.166861E-07
    0.101852E-07    0.110517E+01    0.830036E-08    0.110517E+01    0.830036E-08    0.110517E+01    0.346019E-07
    0.814814E-08    0.110517E+01    0.132319E-07    0.110517E+01    0.132319E-07    0.110517E+01    0.461088E-07
    0.651852E-08    0.110517E+01    0.903059E-09    0.110517E+01    0.903059E-09    0.110517E+01    0.903059E-09
    0.521481E-08    0.110517E+01    0.240196E-07    0.110517E+01    0.240196E-07    0.110517E+01    0.273505E-07
    0.417185E-08    0.110517E+01    0.336515E-07    0.110517E+01    0.336515E-07    0.110517E+01    0.305612E-07
    0.333748E-08    0.110517E+01    0.957177E-08    0.110517E+01    0.957177E-08    0.110517E+01    0.957177E-08
    0.266998E-08    0.110517E+01    0.547213E-07    0.110517E+01    0.547213E-07    0.110517E+01    0.456110E-07
    0.213599E-08    0.110517E+01    0.735336E-07    0.110517E+01    0.205279E-07    0.110517E+01    0.205279E-07
    0.170879E-08    0.110517E+01    0.735336E-07    0.110517E+01    0.440433E-07    0.110517E+01    0.112726E-06
    0.136703E-08    0.110517E+01    0.146491E-07    0.110517E+01    0.146491E-07    0.110517E+01    0.181312E-06
