 #     x               legendre p( 3 ,x)
  -.277999             0.363284635
  -.276999             0.362362183
  -.275999             0.361435576
  -.274999             0.360504829
  -.273999             0.359569958
  -.272999             0.358630976
  -.271999             0.357687899
  -.270999             0.356740743
  -.269999             0.355789521
  -.268999             0.354834249
  -.267999             0.353874943
  -.266999             0.352911616
  -.265999             0.351944285
  -.264999             0.350972964
  -.263999             0.349997667
  -.262999             0.349018411
  -.261999             0.348035210
  -.260999             0.347048078
  -.259999             0.346057032
  -.258999             0.345062086
  -.257999             0.344063255
  -.256999             0.343060554
  -.255999             0.342053998
  -.254999             0.341043602
  -.253999             0.340029381
  -.252999             0.339011350
  -.251999             0.337989524
  -.250999             0.336963918
  -.249999             0.335934547
  -.248999             0.334901426
  -.247999             0.333864571
  -.246999             0.332823995
  -.245999             0.331779714
  -.244999             0.330731744
  -.243999             0.329680098
  -.242999             0.328624792
  -.241999             0.327565842
  -.240999             0.326503261
  -.239999             0.325437066
  -.238999             0.324367271
  -.237999             0.323293890
  -.236999             0.322216940
  -.235999             0.321136434
  -.234999             0.320052389
  -.233999             0.318964819
  -.232999             0.317873739
  -.231999             0.316779163
  -.230999             0.315681108
  -.229999             0.314579588
  -.228999             0.313474618
  -.227999             0.312366213
  -.226999             0.311254388
  -.225999             0.310139158
  -.224999             0.309020538
  -.223999             0.307898543
  -.222999             0.306773188
  -.221999             0.305644489
  -.220999             0.304512459
  -.219999             0.303377114
  -.218999             0.302238469
  -.217999             0.301096540
  -.216999             0.299951340
  -.215999             0.298802885
  -.214999             0.297651191
  -.213999             0.296496271
  -.212999             0.295338142
  -.211999             0.294176817
  -.210999             0.293012313
  -.209999             0.291844643
  -.208999             0.290673824
  -.207999             0.289499869
  -.206999             0.288322795
  -.205999             0.287142616
  -.204999             0.285959347
  -.203999             0.284773002
  -.202999             0.283583598
  -.201999             0.282391149
  -.200999             0.281195670
  -.199999             0.279997176
  -.198999             0.278795682
  -.197999             0.277591203
  -.196999             0.276383754
  -.195999             0.275173350
  -.194999             0.273960006
  -.193999             0.272743737
  -.192999             0.271524558
  -.191999             0.270302484
  -.190999             0.269077530
  -.189999             0.267849712
  -.188999             0.266619043
  -.187999             0.265385539
  -.186999             0.264149216
  -.185999             0.262910087
  -.184999             0.261668168
  -.183999             0.260423475
  -.182999             0.259176021
  -.181999             0.257925823
  -.180999             0.256672894
  -.179999             0.255417251
  -.178999             0.254158907
  -.177999             0.252897879
  -.176999             0.251634180
  -.175999             0.250367827
  -.174999             0.249098834
  -.173999             0.247827216
  -.172999             0.246552987
  -.171999             0.245276164
  -.170999             0.243996761
  -.169999             0.242714793
  -.168999             0.241430275
  -.167999             0.240143222
  -.166999             0.238853648
  -.165999             0.237561570
  -.164999             0.236267002
  -.163999             0.234969959
  -.162999             0.233670457
  -.161999             0.232368509
  -.160999             0.231064131
  -.159999             0.229757338
  -.158999             0.228448145
  -.157999             0.227136567
  -.156999             0.225822619
  -.155999             0.224506317
  -.154999             0.223187674
  -.153999             0.221866706
  -.152999             0.220543429
  -.151999             0.219217856
  -.150999             0.217890003
  -.149999             0.216559886
  -.148999             0.215227518
  -.147999             0.213892916
  -.146999             0.212556093
  -.145999             0.211217066
  -.144999             0.209875849
  -.143999             0.208532456
  -.142999             0.207186904
  -.141999             0.205839206
  -.140999             0.204489379
  -.139999             0.203137437
  -.138999             0.201783395
  -.137999             0.200427267
  -.136999             0.199069070
  -.135999             0.197708818
  -.134999             0.196346526
  -.133999             0.194982209
  -.132999             0.193615882
  -.131999             0.192247560
  -.130999             0.190877258
  -.129999             0.189504991
  -.128999             0.188130774
  -.127999             0.186754622
  -.126999             0.185376550
  -.125999             0.183996573
  -.124999             0.182614706
  -.123999             0.181230964
  -.122999             0.179845362
  -.121999             0.178457915
  -.120999             0.177068639
  -.119999             0.175677547
  -.118999             0.174284655
  -.117999             0.172889978
  -.116999             0.171493532
  -.115999             0.170095330
  -.114999             0.168695389
  -.113999             0.167293722
  -.112999             0.165890345
  -.111999             0.164485274
  -.110999             0.163078522
  -.109999             0.161670106
  -.108999             0.160260039
  -.107999             0.158848338
  -.106999             0.157435017
  -.105999             0.156020090
  -.104999             0.154603574
  -.103999             0.153185482
  -.102999             0.151765831
  -.101999             0.150344635
  -.100999             0.148921909
  -.099999             0.147497667
  -.098999             0.146071926
  -.097999             0.144644700
  -.096999             0.143216004
  -.095999             0.141785853
  -.094999             0.140354262
  -.093999             0.138921245
  -.092999             0.137486819
  -.091999             0.136050998
  -.090999             0.134613797
  -.089999             0.133175231
  -.088999             0.131735315
  -.087999             0.130294064
  -.086999             0.128851493
  -.085999             0.127407618
  -.084999             0.125962452
  -.083999             0.124516011
  -.082999             0.123068310
  -.081999             0.121619364
  -.080999             0.120169188
  -.079999             0.118717798
  -.078999             0.117265207
  -.077999             0.115811431
  -.076999             0.114356485
  -.075999             0.112900385
  -.074999             0.111443144
  -.073999             0.109984779
  -.072999             0.108525303
  -.071999             0.107064732
  -.070999             0.105603082
  -.069999             0.104140366
  -.068999             0.102676601
  -.067999             0.101211800
  -.066999             0.099745980
  -.065999             0.098279154
  -.064999             0.096811339
  -.063999             0.095342548
  -.062999             0.093872798
  -.061999             0.092402103
  -.060999             0.090930477
  -.059999             0.089457937
  -.058999             0.087984497
  -.057999             0.086510171
  -.056999             0.085034976
  -.055999             0.083558926
  -.054999             0.082082036
  -.053999             0.080604321
  -.052999             0.079125795
  -.051999             0.077646475
  -.050999             0.076166375
  -.049999             0.074685510
  -.048999             0.073203895
  -.047999             0.071721545
  -.046999             0.070238475
  -.045999             0.068754700
  -.044999             0.067270235
  -.043999             0.065785095
  -.042999             0.064299295
  -.041999             0.062812850
  -.040999             0.061325775
  -.039999             0.059838085
  -.038999             0.058349795
  -.037999             0.056860920
  -.036999             0.055371475
  -.035999             0.053881475
  -.034999             0.052390936
  -.033999             0.050899871
  -.032999             0.049408296
  -.031999             0.047916226
  -.030999             0.046423676
  -.029999             0.044930662
  -.028999             0.043437197
  -.027999             0.041943297
  -.026999             0.040448978
  -.025999             0.038954253
  -.024999             0.037459138
  -.023999             0.035963649
  -.022999             0.034467799
  -.021999             0.032971605
  -.020999             0.031475080
  -.019999             0.029978240
  -.018999             0.028481101
  -.017999             0.026983676
  -.016999             0.025485982
  -.015999             0.023988032
  -.014999             0.022489843
  -.013999             0.020991429
  -.012999             0.019492804
  -.011999             0.017993985
  -.010999             0.016494985
  -.009999             0.014995821
  -.008999             0.013496507
  -.007999             0.011997057
  -.006999             0.010497488
  -.005999             0.008997814
  -.004999             0.007498049
  -.003999             0.005998210
  -.002999             0.004498311
  -.001999             0.002998367
  -.000999             0.001498392
  0.000001            -0.000001597
  0.001001            -0.001501586
  0.002001            -0.003001560
  0.003001            -0.004501504
  0.004001            -0.006001403
  0.005001            -0.007501243
  0.006001            -0.009001007
  0.007001            -0.010500681
  0.008001            -0.012000250
  0.009001            -0.013499699
  0.010001            -0.014999013
  0.011001            -0.016498177
  0.012001            -0.017997176
  0.013001            -0.019495995
  0.014001            -0.020994619
  0.015001            -0.022493033
  0.016001            -0.023991222
  0.017001            -0.025489171
  0.018001            -0.026986865
  0.019001            -0.028484289
  0.020001            -0.029981428
  0.021001            -0.031478266
  0.022001            -0.032974790
  0.023001            -0.034470984
  0.024001            -0.035966833
  0.025001            -0.037462322
  0.026001            -0.038957436
  0.027001            -0.040452159
  0.028001            -0.041946478
  0.029001            -0.043440377
  0.030001            -0.044933841
  0.031001            -0.046426854
  0.032001            -0.047919403
  0.033001            -0.049411472
  0.034001            -0.050903046
  0.035001            -0.052394109
  0.036001            -0.053884648
  0.037001            -0.055374647
  0.038001            -0.056864090
  0.039001            -0.058352964
  0.040001            -0.059841253
  0.041001            -0.061328941
  0.042001            -0.062816015
  0.043001            -0.064302458
  0.044001            -0.065788257
  0.045001            -0.067273395
  0.046001            -0.068757859
  0.047001            -0.070241633
  0.048001            -0.071724701
  0.049001            -0.073207050
  0.050001            -0.074688663
  0.051001            -0.076169527
  0.052001            -0.077649625
  0.053001            -0.079128944
  0.054001            -0.080607467
  0.055001            -0.082085180
  0.056001            -0.083562069
  0.057001            -0.085038117
  0.058001            -0.086513311
  0.059001            -0.087987634
  0.060001            -0.089461072
  0.061001            -0.090933611
  0.062001            -0.092405234
  0.063001            -0.093875927
  0.064001            -0.095345676
  0.065001            -0.096814464
  0.066001            -0.098282277
  0.067001            -0.099749101
  0.068001            -0.101214919
  0.069001            -0.102679717
  0.070001            -0.104143481
  0.071001            -0.105606194
  0.072001            -0.107067842
  0.073001            -0.108528410
  0.074001            -0.109987884
  0.075001            -0.111446247
  0.076001            -0.112903485
  0.077001            -0.114359583
  0.078001            -0.115814526
  0.079001            -0.117268300
  0.080001            -0.118720888
  0.081001            -0.120172276
  0.082001            -0.121622449
  0.083001            -0.123071392
  0.084001            -0.124519090
  0.085001            -0.125965529
  0.086001            -0.127410692
  0.087001            -0.128854565
  0.088001            -0.130297133
  0.089001            -0.131738381
  0.090001            -0.133178294
  0.091001            -0.134616857
  0.092001            -0.136054055
  0.093001            -0.137489873
  0.094001            -0.138924296
  0.095001            -0.140357309
  0.096001            -0.141788897
  0.097001            -0.143219045
  0.098001            -0.144647738
  0.099001            -0.146074961
  0.100001            -0.147500699
  0.101001            -0.148924937
  0.102001            -0.150347660
  0.103001            -0.151768853
  0.104001            -0.153188501
  0.105001            -0.154606589
  0.106001            -0.156023102
  0.107001            -0.157438025
  0.108001            -0.158851343
  0.109001            -0.160263041
  0.110001            -0.161673104
  0.111001            -0.163081517
  0.112001            -0.164488265
  0.113001            -0.165893333
  0.114001            -0.167296706
  0.115001            -0.168698368
  0.116001            -0.170098306
  0.117001            -0.171496504
  0.118001            -0.172892947
  0.119001            -0.174287620
  0.120001            -0.175680508
  0.121001            -0.177071596
  0.122001            -0.178460869
  0.123001            -0.179848311
  0.124001            -0.181233909
  0.125001            -0.182617647
  0.126001            -0.183999510
  0.127001            -0.185379483
  0.128001            -0.186757551
  0.129001            -0.188133698
  0.130001            -0.189507911
  0.131001            -0.190880174
  0.132001            -0.192250472
