gauss points     final           1st     1st error           2nd     2nd error           3rd     3rd error
         140     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48745    -0.415E-02
         141     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48749    -0.412E-02
         142     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48754    -0.409E-02
         143     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48758    -0.406E-02
         144     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48762    -0.404E-02
         145     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48766    -0.401E-02
         146     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48770    -0.398E-02
         147     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48775    -0.395E-02
         148     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48778    -0.393E-02
         149     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48782    -0.390E-02
         150     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48786    -0.387E-02
         151     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48790    -0.385E-02
         152     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48794    -0.382E-02
         153     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48798    -0.380E-02
         154     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48801    -0.377E-02
         155     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48805    -0.375E-02
         156     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48808    -0.373E-02
         157     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48812    -0.370E-02
         158     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48815    -0.368E-02
         159     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48819    -0.366E-02
         160     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48822    -0.363E-02
